sheet,axis,plane_nm,endpoint_count,short_segment_count,cells
组1,X,-500.0,0,0,
组1,X,500.0,0,0,
组1,X,-5000.0,3,3,A3;A4;A5
组1,X,5000.0,4,4,D10;D11;D12;D14
组1,Y,-500.0,2,2,B10;B13
组1,Y,500.0,0,0,
组1,Y,-5000.0,0,0,
组1,Y,5000.0,0,0,
组1,Z,-500.0,2,2,C9;C14
组1,Z,500.0,2,2,F8;F13
组1,Z,-5000.0,0,0,
组1,Z,5000.0,0,0,
组2,X,-500.0,0,0,
组2,X,500.0,0,0,
组2,X,-5000.0,11,11,A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;A13
组2,X,5000.0,11,11,D36;D40;D41;D44;D45;D46;D47;D48;D49;D50;D51
组2,Y,-500.0,7,7,E7;E25;B30;B37;B38;B45;B49
组2,Y,500.0,6,6,E15;E21;E34;B39;E42;E43
组2,Y,-5000.0,0,0,
组2,Y,5000.0,0,0,
组2,Z,-500.0,6,6,F3;F4;F10;F11;C29;C32
组2,Z,500.0,5,5,C17;C19;C22;F24;F30
组2,Z,-5000.0,0,0,
组2,Z,5000.0,0,0,
组3,X,-500.0,0,0,
组3,X,500.0,0,0,
组3,X,-5000.0,91,91,A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;A13;A14;A15;A16;A17;A18;A19;A20;A21;A22;A23;A24;A25;A26;A27;A28;A29;A30;A31;A32;A33;A34;A35;A36;A37;A38;A39;A40;A41;A42;A43;A44;A45;A46;A47;A48;A49;A50;A51;A52;A53;A54;A55;A56;A57;A58;A59;A60;A61;A62;A63;A64;A65;A66;A67;A68;A69;A70;A71;A72;A73;A74;A75;A76;A77;A78;A79;A80;A81;A82;A83;A84;A85;A86;A87;A88;A89;A90;A91;A92;A93
组3,X,5000.0,90,90,D353;D365;D369;D376;D383;D388;D390;D391;D395;D400;D404;D405;D412;D413;D415;D418;D421;D424;D430;D431;D437;D443;D445;D446;D447;D449;D452;D454;D456;D457;D458;D461;D463;D464;D465;D466;D468;D471;D472;D473;D474;D479;D480;D481;D482;D483;D484;D487;D488;D490;D491;D492;D493;D498;D499;D500;D501;D502;D503;D504;D506;D507;D508;D509;D510;D511;D512;D513;D514;D516;D517;D518;D519;D521;D522;D523;D524;D525;D526;D527;D528;D529;D530;D531;D532;D533;D534;D535;D536;D537
组3,Y,-500.0,0,0,
组3,Y,500.0,0,0,
组3,Y,-5000.0,61,61,E5;E13;B104;E125;B126;B137;B141;B145;B148;B163;B164;E165;E168;B191;B198;E199;E200;E210;E226;E228;B229;E236;B238;B243;B248;B254;E270;E273;B275;E281;E283;B297;E303;E304;B306;E316;E327;E332;E344;B370;B373;E377;B384;E385;B392;B393;E409;E419;B420;E425;E426;B427;E438;E440;B451;B459;E469;E475;B488;B490;B534
组3,Y,5000.0,57,57,E83;E87;E93;B101;E106;E111;E129;B131;E152;E154;E155;E161;B170;E184;B201;E203;E206;E214;E215;E219;B234;B246;E251;E256;B269;B274;B299;B302;B309;B312;B317;E352;E354;B358;E362;B363;B364;B371;B378;E380;B394;E402;B412;B414;E422;B434;B441;E444;B471;E476;B478;B495;B497;B498;E505;B513;B529
组3,Z,-500.0,0,0,
组3,Z,500.0,0,0,
组3,Z,-5000.0,51,51,F58;F78;F90;F98;F107;F114;C120;F131;C135;F140;C142;C144;F147;C171;C181;F187;C202;F217;C220;F233;F234;C241;C245;F253;C258;C265;C285;C292;F294;F323;F334;F336;C347;F348;C351;C357;C361;F367;C368;F401;F403;F408;C410;C417;C423;F428;F429;F442;F453;C496;C515
组3,Z,5000.0,60,60,F39;F41;F50;F75;F94;C112;C123;C132;C134;C136;F149;C150;F158;C160;F167;F169;C175;F176;F179;C180;C189;F190;F194;C197;F201;F209;C211;F212;F221;F232;C236;C237;F238;C239;F246;C260;F271;F279;C310;F313;F319;C337;C356;C397;F398;C409;C416;F433;C435;C436;C443;C447;C450;C460;C467;C472;C477;F485;F494;F520
