sheet,scenario,particle_id,status,complete_5000,segment_count,sheet_rows,chain_rows,chain_orientations,total_length_nm,length_residual_nm,junction_count,cross_X,cross_Y,cross_Z,shared_junctions,periodic_junctions,unmatched_boundary_faces
组1,row_literal,组1_row_literal_P0001,cannot_reconstruct,False,1,3,3,3:+,2447.8138479470927,-2552.1861520529073,0,0,0,0,0,0,
组1,row_literal,组1_row_literal_P0002,cannot_reconstruct,False,1,4,4,4:+,2315.534369816957,-2684.465630183043,0,0,0,0,0,0,
组1,row_literal,组1_row_literal_P0003,cannot_reconstruct,False,1,5,5,5:+,1062.1411789741362,-3937.858821025864,0,0,0,0,0,0,
组1,row_literal,组1_row_literal_P0004,unique,True,1,6,6,6:+,5000.000000000005,4.547473508864641e-12,0,0,0,0,0,0,
组1,row_literal,组1_row_literal_P0005,unique,True,1,7,7,7:+,5000.000000000003,2.7284841053187847e-12,0,0,0,0,0,0,
组1,row_literal,组1_row_literal_P0006,cannot_reconstruct,False,1,8,8,8:+,1419.6467067908795,-3580.3532932091202,0,0,0,0,0,0,
组1,row_literal,组1_row_literal_P0007,cannot_reconstruct,False,1,9,9,9:+,3580.3532932091184,-1419.6467067908816,0,0,0,0,0,0,
组1,row_literal,组1_row_literal_P0008,cannot_reconstruct,False,1,10,10,10:+,4423.311529464218,-576.6884705357816,0,0,0,0,0,0,
组1,row_literal,组1_row_literal_P0009,cannot_reconstruct,False,1,11,11,11:+,3937.8588210258636,-1062.1411789741364,0,0,0,0,0,0,
组1,row_literal,组1_row_literal_P0010,cannot_reconstruct,False,1,12,12,12:+,2684.465630183044,-2315.534369816956,0,0,0,0,0,0,
组1,row_literal,组1_row_literal_P0011,cannot_reconstruct,False,1,13,13,13:+,1019.1172545934198,-3980.8827454065804,0,0,0,0,0,0,
组1,row_literal,组1_row_literal_P0012,cannot_reconstruct,False,1,14,14,14:+,1359.2513846976615,-3640.7486153023383,0,0,0,0,0,0,
组1,full_cube_periodic,组1_full_cube_periodic_P0001,cannot_reconstruct,False,2,3;14,3->14,3:-;14:-,3807.0652326447544,-1192.9347673552456,1,1,0,0,0,1,
组1,full_cube_periodic,组1_full_cube_periodic_P0002,unique,True,2,4;12,4->12,4:-;12:-,5000.000000000002,1.8189894035458565e-12,1,1,0,0,0,1,
组1,full_cube_periodic,组1_full_cube_periodic_P0003,unique,True,2,5;11,5->11,5:-;11:-,5000.0,0.0,1,1,0,0,0,1,
组1,full_cube_periodic,组1_full_cube_periodic_P0004,unique,True,1,6,6,6:+,5000.000000000005,4.547473508864641e-12,0,0,0,0,0,0,
