sheet,scenario,junction_id,row1,side1,cells1,endpoint1_x,endpoint1_y,endpoint1_z,row2,side2,cells2,endpoint2_x,endpoint2_y,endpoint2_z,kind,shift_x,shift_y,shift_z,crossing_axes,dot_outward
组1,full_cube_periodic,1,3,1,A3:C3,-5000.0,-123.595139885209,-413.21077078022,14,2,D14:F14,5000.0,-123.595139885209,-413.21077078022,periodic,1,0,0,X,-1.0
组1,full_cube_periodic,2,4,1,A4:C4,-5000.0,260.638630130799,-45.5355334223004,12,2,D12:F12,5000.0,260.638630130799,-45.5355334223004,periodic,1,0,0,X,-1.0000000000000002
组1,full_cube_periodic,3,5,1,A5:C5,-5000.0,273.505296679324,-144.677940130256,11,2,D11:F11,5000.0,273.505296679324,-144.677940130256,periodic,1,0,0,X,-1.0
组1,thin_prism_periodic,1,3,1,A3:C3,-5000.0,-123.595139885209,-413.21077078022,14,2,D14:F14,5000.0,-123.595139885209,-413.21077078022,periodic,1,0,0,X,-1.0
组1,thin_prism_periodic,2,4,1,A4:C4,-5000.0,260.638630130799,-45.5355334223004,12,2,D12:F12,5000.0,260.638630130799,-45.5355334223004,periodic,1,0,0,X,-1.0000000000000002
组1,thin_prism_periodic,3,5,1,A5:C5,-5000.0,273.505296679324,-144.677940130256,11,2,D11:F11,5000.0,273.505296679324,-144.677940130256,periodic,1,0,0,X,-1.0
组1,thin_prism_periodic,4,8,2,D8:F8,-843.854487636523,-277.554922291578,500.0,9,1,A9:C9,-843.854487636523,-277.554922291578,-500.0,periodic,0,0,-1,Z,-1.0
组1,thin_prism_periodic,5,13,2,D13:F13,3660.68808804375,-338.712686789317,500.0,14,1,A14:C14,3660.68808804375,-338.712686789317,-500.0,periodic,0,0,-1,Z,-0.9999999999999999
组2,full_cube_periodic,1,3,1,A3:C3,-5000.0,-460.898289390296,-273.23245049489,49,2,D49:F49,5000.0,-460.898289390296,-273.23245049489,periodic,1,0,0,X,-0.9999999999999999
组2,full_cube_periodic,2,4,1,A4:C4,-5000.0,-192.583780408597,50.2861991895686,51,2,D51:F51,5000.0,-192.583780408597,50.2861991895686,periodic,1,0,0,X,-1.0
组2,full_cube_periodic,3,5,1,A5:C5,-5000.0,-143.414420351492,218.690227529327,45,2,D45:F45,5000.0,-143.414420351492,218.690227529327,periodic,1,0,0,X,-1.0
组2,full_cube_periodic,4,6,1,A6:C6,-5000.0,-31.8043625940113,-200.10393428969,47,2,D47:F47,5000.0,-31.8043625940113,-200.10393428969,periodic,1,0,0,X,-0.9999999999999999
组2,full_cube_periodic,5,7,1,A7:C7,-5000.0,-24.3939133305471,-161.974770248318,48,2,D48:F48,5000.0,-24.3939133305471,-161.974770248318,periodic,1,0,0,X,-1.0
组2,full_cube_periodic,6,8,1,A8:C8,-5000.0,-14.0725596141766,281.931898702774,44,2,D44:F44,5000.0,-14.0725596141766,281.931898702774,periodic,1,0,0,X,-0.9999999999999999
组2,full_cube_periodic,7,9,1,A9:C9,-5000.0,-10.9123393011085,138.872240038616,40,2,D40:F40,5000.0,-10.9123393011085,138.872240038616,periodic,1,0,0,X,-1.0
组2,full_cube_periodic,8,11,1,A11:C11,-5000.0,270.675162840378,-248.900081210053,50,2,D50:F50,5000.0,270.675162840378,-248.900081210053,periodic,1,0,0,X,-1.0
组2,full_cube_periodic,9,12,1,A12:C12,-5000.0,300.316348054142,115.435676374726,41,2,D41:F41,5000.0,300.316348054142,115.435676374726,periodic,1,0,0,X,-0.9999999999999999
组2,full_cube_periodic,10,13,1,A13:C13,-5000.0,307.50626190705,-131.057049605648,46,2,D46:F46,5000.0,307.50626190705,-131.057049605648,periodic,1,0,0,X,-1.0000000000000002
组2,thin_prism_periodic,1,3,1,A3:C3,-5000.0,-460.898289390296,-273.23245049489,49,2,D49:F49,5000.0,-460.898289390296,-273.23245049489,periodic,1,0,0,X,-0.9999999999999999
组2,thin_prism_periodic,2,3,2,D3:F3,-3512.12594512394,-404.979103320158,-500.0,19,1,A19:C19,-3512.12594512394,-404.979103320158,500.0,periodic,0,0,1,Z,-1.0
组2,thin_prism_periodic,3,4,1,A4:C4,-5000.0,-192.583780408597,50.2861991895686,51,2,D51:F51,5000.0,-192.583780408597,50.2861991895686,periodic,1,0,0,X,-1.0
组2,thin_prism_periodic,4,5,1,A5:C5,-5000.0,-143.414420351492,218.690227529327,45,2,D45:F45,5000.0,-143.414420351492,218.690227529327,periodic,1,0,0,X,-1.0
组2,thin_prism_periodic,5,6,1,A6:C6,-5000.0,-31.8043625940113,-200.10393428969,47,2,D47:F47,5000.0,-31.8043625940113,-200.10393428969,periodic,1,0,0,X,-0.9999999999999999
组2,thin_prism_periodic,6,7,1,A7:C7,-5000.0,-24.3939133305471,-161.974770248318,48,2,D48:F48,5000.0,-24.3939133305471,-161.974770248318,periodic,1,0,0,X,-1.0
组2,thin_prism_periodic,7,8,1,A8:C8,-5000.0,-14.0725596141766,281.931898702774,44,2,D44:F44,5000.0,-14.0725596141766,281.931898702774,periodic,1,0,0,X,-0.9999999999999999
组2,thin_prism_periodic,8,9,1,A9:C9,-5000.0,-10.9123393011085,138.872240038616,40,2,D40:F40,5000.0,-10.9123393011085,138.872240038616,periodic,1,0,0,X,-1.0
组2,thin_prism_periodic,9,10,2,D10:F10,-4173.94384524883,33.2672984059111,-500.0,17,1,A17:C17,-4173.94384524883,33.2672984059111,500.0,periodic,0,0,1,Z,-1.0
组2,thin_prism_periodic,10,11,1,A11:C11,-5000.0,270.675162840378,-248.900081210053,50,2,D50:F50,5000.0,270.675162840378,-248.900081210053,periodic,1,0,0,X,-1.0
组2,thin_prism_periodic,11,11,2,D11:F11,-3079.42375967721,104.273670959877,-500.0,22,1,A22:C22,-3079.42375967721,104.273670959877,500.0,periodic,0,0,1,Z,-0.9999999999999999
组2,thin_prism_periodic,12,12,1,A12:C12,-5000.0,300.316348054142,115.435676374726,41,2,D41:F41,5000.0,300.316348054142,115.435676374726,periodic,1,0,0,X,-0.9999999999999999
组2,thin_prism_periodic,13,13,1,A13:C13,-5000.0,307.50626190705,-131.057049605648,46,2,D46:F46,5000.0,307.50626190705,-131.057049605648,periodic,1,0,0,X,-1.0000000000000002
组2,thin_prism_periodic,14,15,2,D15:F15,-1537.93061123045,500.0,398.703158402811,30,1,A30:C30,-1537.93061123045,-500.0,398.703158402811,periodic,0,-1,0,Y,-1.0
组2,thin_prism_periodic,15,21,2,D21:F21,546.17566633094,500.0,-275.882596484106,37,1,A37:C37,546.17566633094,-500.0,-275.882596484106,periodic,0,-1,0,Y,-1.0
组2,thin_prism_periodic,16,24,2,D24:F24,-1767.0938703176,265.608771579383,500.0,29,1,A29:C29,-1767.0938703176,265.608771579383,-500.0,periodic,0,0,-1,Z,-0.9999999999999999
组2,thin_prism_periodic,17,25,2,D25:F25,1319.672058946,-500.0,-292.919257117071,39,1,A39:C39,1319.672058946,500.0,-292.919257117071,periodic,0,1,0,Y,-1.0
组2,thin_prism_periodic,18,30,2,D30:F30,-787.781102731041,-435.217931966297,500.0,32,1,A32:C32,-787.781102731041,-435.217931966297,-500.0,periodic,0,0,-1,Z,-0.9999999999999999
组2,thin_prism_periodic,19,34,2,D34:F34,621.587310787169,500.0,411.795323271371,38,1,A38:C38,621.587310787169,-500.0,411.795323271371,periodic,0,-1,0,Y,-1.0
组2,thin_prism_periodic,20,42,2,D42:F42,2804.23899723811,500.0,98.5069701618498,45,1,A45:C45,2804.23899723811,-500.0,98.5069701618498,periodic,0,-1,0,Y,-1.0
