scenario,reconstruction_scenario,internal_mode,edge_id,sheet,edge_type,node_u,node_v,row_u,row_v,electrode,particle_u,particle_v,particle_id,component_status,gap_lower_nm,gap_upper_nm,gap_estimate_nm,classification,threshold_relation,method,capsule_lower_bound_nm,gjk_iterations,gjk_converged,slsqp_check_gap_nm,slsqp_abs_difference_nm,slsqp_same_threshold_class,crossing_axes,shift_x,shift_y,shift_z,mapped_endpoint_residual_nm,enabled
B_full_cube_periodic,full_cube_periodic,disconnected_fragments,组1:INTERNAL:full_cube_periodic:j1,组1,same_particle_periodic_junction,r3,r14,3,14,,,,组1_full_cube_periodic_P0001,cannot_reconstruct,,,,not_in_graph,not_applicable_same_particle,unique_periodic_endpoint_mapping,,,,,,,X,1,0,0,0.0,False
B_full_cube_periodic,full_cube_periodic,disconnected_fragments,组1:INTERNAL:full_cube_periodic:j2,组1,same_particle_periodic_junction,r4,r12,4,12,,,,组1_full_cube_periodic_P0002,unique,,,,not_in_graph,not_applicable_same_particle,unique_periodic_endpoint_mapping,,,,,,,X,1,0,0,0.0,False
B_full_cube_periodic,full_cube_periodic,disconnected_fragments,组1:INTERNAL:full_cube_periodic:j3,组1,same_particle_periodic_junction,r5,r11,5,11,,,,组1_full_cube_periodic_P0003,unique,,,,not_in_graph,not_applicable_same_particle,unique_periodic_endpoint_mapping,,,,,,,X,1,0,0,0.0,False
B_full_cube_periodic,full_cube_periodic,disconnected_fragments,组2:INTERNAL:full_cube_periodic:j1,组2,same_particle_periodic_junction,r3,r49,3,49,,,,组2_full_cube_periodic_P0001,cannot_reconstruct,,,,not_in_graph,not_applicable_same_particle,unique_periodic_endpoint_mapping,,,,,,,X,1,0,0,0.0,False
B_full_cube_periodic,full_cube_periodic,disconnected_fragments,组2:INTERNAL:full_cube_periodic:j2,组2,same_particle_periodic_junction,r4,r51,4,51,,,,组2_full_cube_periodic_P0002,cannot_reconstruct,,,,not_in_graph,not_applicable_same_particle,unique_periodic_endpoint_mapping,,,,,,,X,1,0,0,0.0,False
B_full_cube_periodic,full_cube_periodic,disconnected_fragments,组2:INTERNAL:full_cube_periodic:j3,组2,same_particle_periodic_junction,r5,r45,5,45,,,,组2_full_cube_periodic_P0003,cannot_reconstruct,,,,not_in_graph,not_applicable_same_particle,unique_periodic_endpoint_mapping,,,,,,,X,1,0,0,0.0,False
B_full_cube_periodic,full_cube_periodic,disconnected_fragments,组2:INTERNAL:full_cube_periodic:j4,组2,same_particle_periodic_junction,r6,r47,6,47,,,,组2_full_cube_periodic_P0004,unique,,,,not_in_graph,not_applicable_same_particle,unique_periodic_endpoint_mapping,,,,,,,X,1,0,0,0.0,False
B_full_cube_periodic,full_cube_periodic,disconnected_fragments,组2:INTERNAL:full_cube_periodic:j5,组2,same_particle_periodic_junction,r7,r48,7,48,,,,组2_full_cube_periodic_P0005,cannot_reconstruct,,,,not_in_graph,not_applicable_same_particle,unique_periodic_endpoint_mapping,,,,,,,X,1,0,0,0.0,False
B_full_cube_periodic,full_cube_periodic,disconnected_fragments,组2:INTERNAL:full_cube_periodic:j6,组2,same_particle_periodic_junction,r8,r44,8,44,,,,组2_full_cube_periodic_P0006,unique,,,,not_in_graph,not_applicable_same_particle,unique_periodic_endpoint_mapping,,,,,,,X,1,0,0,0.0,False
B_full_cube_periodic,full_cube_periodic,disconnected_fragments,组2:INTERNAL:full_cube_periodic:j7,组2,same_particle_periodic_junction,r9,r40,9,40,,,,组2_full_cube_periodic_P0007,unique,,,,not_in_graph,not_applicable_same_particle,unique_periodic_endpoint_mapping,,,,,,,X,1,0,0,0.0,False
