edge_id,sheet,edge_type,node_u,node_v,row_u,row_v,electrode,particle_u,particle_v,particle_id,component_status,gap_lower_nm,gap_upper_nm,gap_estimate_nm,classification,threshold_relation,method,capsule_lower_bound_nm,gjk_iterations,gjk_converged,slsqp_check_gap_nm,slsqp_abs_difference_nm,slsqp_same_threshold_class,crossing_axes,shift_x,shift_y,shift_z,mapped_endpoint_residual_nm,enabled
组1:PAIR:r3:r6,组1,cylinder_contact,r3,r6,3,6,,,,,,0.0,2.170009413277917e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,3.1776437161565096e-14,3.1776437161565096e-14,True,,,,,,
组1:PAIR:r11:r12,组1,cylinder_contact,r11,r12,11,12,,,,,,0.0,2.0966613025182378e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,4,True,3.4107901638000697e-13,3.4107901638000697e-13,True,,,,,,
组2:PAIR:r4:r13,组2,cylinder_contact,r4,r13,4,13,,,,,,0.0,1.9903950043506905e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,2.308990589380062e-13,2.308990589380062e-13,True,,,,,,
组2:PAIR:r4:r14,组2,cylinder_contact,r4,r14,4,14,,,,,,0.0,1.6746695940092656e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,6,True,5.453474041662791e-10,5.453474041662791e-10,True,,,,,,
组2:PAIR:r5:r8,组2,cylinder_contact,r5,r8,5,8,,,,,,0.0,2.330633945603017e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,4,True,1.1588601317882371e-13,1.1588601317882371e-13,True,,,,,,
组2:PAIR:r5:r18,组2,cylinder_contact,r5,r18,5,18,,,,,,0.0,2.3804978668550276e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,9.099386826154683e-13,9.099386826154683e-13,True,,,,,,
组2:PAIR:r6:r7,组2,cylinder_contact,r6,r7,6,7,,,,,,0.0,2.0068569593554382e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,2.2914314707516465e-13,2.2914314707516465e-13,True,,,,,,
组2:PAIR:r13:r14,组2,cylinder_contact,r13,r14,13,14,,,,,,0.0,1.985972445629906e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,4,True,1.2789769243681803e-12,1.2789769243681803e-12,True,,,,,,
组2:PAIR:r14:r26,组2,cylinder_contact,r14,r26,14,26,,,,,,0.0,1.4410931306146347e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,4,True,5.123796534383003e-14,5.123796534383003e-14,True,,,,,,
组2:PAIR:r16:r17,组2,cylinder_contact,r16,r17,16,17,,,,,,0.0,1.4325883993482166e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,4.556346636343676e-13,4.556346636343676e-13,True,,,,,,
