scenario,reconstruction_scenario,internal_mode,sheet,sheet_row,particle_id,component_status,chain_order,orientation_reversed,segment_length_nm,component_total_length_nm,component_residual_nm
A_row_literal,row_literal,disconnected_fragments,组1,3,组1_row_literal_P0001,cannot_reconstruct,1,False,2447.8138479470927,2447.8138479470927,-2552.1861520529073
A_row_literal,row_literal,disconnected_fragments,组1,4,组1_row_literal_P0002,cannot_reconstruct,1,False,2315.534369816957,2315.534369816957,-2684.465630183043
A_row_literal,row_literal,disconnected_fragments,组1,5,组1_row_literal_P0003,cannot_reconstruct,1,False,1062.1411789741362,1062.1411789741362,-3937.858821025864
A_row_literal,row_literal,disconnected_fragments,组1,6,组1_row_literal_P0004,unique,1,False,5000.000000000005,5000.000000000005,4.547473508864641e-12
A_row_literal,row_literal,disconnected_fragments,组1,7,组1_row_literal_P0005,unique,1,False,5000.000000000003,5000.000000000003,2.7284841053187847e-12
A_row_literal,row_literal,disconnected_fragments,组1,8,组1_row_literal_P0006,cannot_reconstruct,1,False,1419.6467067908795,1419.6467067908795,-3580.3532932091202
A_row_literal,row_literal,disconnected_fragments,组1,9,组1_row_literal_P0007,cannot_reconstruct,1,False,3580.3532932091184,3580.3532932091184,-1419.6467067908816
A_row_literal,row_literal,disconnected_fragments,组1,10,组1_row_literal_P0008,cannot_reconstruct,1,False,4423.311529464218,4423.311529464218,-576.6884705357816
A_row_literal,row_literal,disconnected_fragments,组1,11,组1_row_literal_P0009,cannot_reconstruct,1,False,3937.8588210258636,3937.8588210258636,-1062.1411789741364
A_row_literal,row_literal,disconnected_fragments,组1,12,组1_row_literal_P0010,cannot_reconstruct,1,False,2684.465630183044,2684.465630183044,-2315.534369816956
A_row_literal,row_literal,disconnected_fragments,组1,13,组1_row_literal_P0011,cannot_reconstruct,1,False,1019.1172545934198,1019.1172545934198,-3980.8827454065804
A_row_literal,row_literal,disconnected_fragments,组1,14,组1_row_literal_P0012,cannot_reconstruct,1,False,1359.2513846976615,1359.2513846976615,-3640.7486153023383
A_row_literal,row_literal,disconnected_fragments,组2,3,组2_row_literal_P0001,cannot_reconstruct,1,False,1506.0941803395392,1506.0941803395392,-3493.905819660461
A_row_literal,row_literal,disconnected_fragments,组2,4,组2_row_literal_P0002,cannot_reconstruct,1,False,4230.185849840471,4230.185849840471,-769.8141501595292
A_row_literal,row_literal,disconnected_fragments,组2,5,组2_row_literal_P0003,cannot_reconstruct,1,False,1844.6672446236553,1844.6672446236553,-3155.3327553763447
A_row_literal,row_literal,disconnected_fragments,组2,6,组2_row_literal_P0004,cannot_reconstruct,1,False,3080.1227520443604,3080.1227520443604,-1919.8772479556396
A_row_literal,row_literal,disconnected_fragments,组2,7,组2_row_literal_P0005,cannot_reconstruct,1,False,3017.1442233327843,3017.1442233327843,-1982.8557766672157
A_row_literal,row_literal,disconnected_fragments,组2,8,组2_row_literal_P0006,cannot_reconstruct,1,False,2677.2638185886635,2677.2638185886635,-2322.7361814113365
A_row_literal,row_literal,disconnected_fragments,组2,9,组2_row_literal_P0007,cannot_reconstruct,1,False,1556.4879696949872,1556.4879696949872,-3443.5120303050126
A_row_literal,row_literal,disconnected_fragments,组2,10,组2_row_literal_P0008,cannot_reconstruct,1,False,829.4383879007114,829.4383879007114,-4170.561612099289
A_row_literal,row_literal,disconnected_fragments,组2,11,组2_row_literal_P0009,cannot_reconstruct,1,False,1944.0559972924643,1944.0559972924643,-3055.9440027075357
A_row_literal,row_literal,disconnected_fragments,组2,12,组2_row_literal_P0010,cannot_reconstruct,1,False,1874.6776896276024,1874.6776896276024,-3125.3223103723976
A_row_literal,row_literal,disconnected_fragments,组2,13,组2_row_literal_P0011,cannot_reconstruct,1,False,3053.5735753661397,3053.5735753661397,-1946.4264246338603
A_row_literal,row_literal,disconnected_fragments,组2,14,组2_row_literal_P0012,unique,1,False,5000.000000000003,5000.000000000003,2.7284841053187847e-12
A_row_literal,row_literal,disconnected_fragments,组2,15,组2_row_literal_P0013,cannot_reconstruct,1,False,2967.3006364069115,2967.3006364069115,-2032.6993635930885
A_row_literal,row_literal,disconnected_fragments,组2,16,组2_row_literal_P0014,unique,1,False,4999.999999999995,4999.999999999995,-4.547473508864641e-12
A_row_literal,row_literal,disconnected_fragments,组2,17,组2_row_literal_P0015,cannot_reconstruct,1,False,3716.8968047957146,3716.8968047957146,-1283.1031952042854
A_row_literal,row_literal,disconnected_fragments,组2,18,组2_row_literal_P0016,unique,1,False,5000.000000000005,5000.000000000005,4.547473508864641e-12
A_row_literal,row_literal,disconnected_fragments,组2,19,组2_row_literal_P0017,cannot_reconstruct,1,False,1102.1814925754359,1102.1814925754359,-3897.818507424564
