scenario,reconstruction_scenario,internal_mode,edge_id,sheet,edge_type,node_u,node_v,row_u,row_v,electrode,particle_u,particle_v,particle_id,component_status,gap_lower_nm,gap_upper_nm,gap_estimate_nm,classification,threshold_relation,method,capsule_lower_bound_nm,gjk_iterations,gjk_converged,slsqp_check_gap_nm,slsqp_abs_difference_nm,slsqp_same_threshold_class,crossing_axes,shift_x,shift_y,shift_z,mapped_endpoint_residual_nm,enabled
A_row_literal,row_literal,disconnected_fragments,组1:ELECTRODE:LEFT:r3,组1,electrode_contact,LEFT,r3,,3,left,LEFT,组1_row_literal_P0001,,,0.0,0.0,0.0,connected,gap<=1.8,closed_form_cylinder_plane,,0,True,,,,,,,,,
A_row_literal,row_literal,disconnected_fragments,组1:ELECTRODE:LEFT:r4,组1,electrode_contact,LEFT,r4,,4,left,LEFT,组1_row_literal_P0002,,,0.0,0.0,0.0,connected,gap<=1.8,closed_form_cylinder_plane,,0,True,,,,,,,,,
A_row_literal,row_literal,disconnected_fragments,组1:ELECTRODE:LEFT:r5,组1,electrode_contact,LEFT,r5,,5,left,LEFT,组1_row_literal_P0003,,,0.0,0.0,0.0,connected,gap<=1.8,closed_form_cylinder_plane,,0,True,,,,,,,,,
A_row_literal,row_literal,disconnected_fragments,组1:ELECTRODE:RIGHT:r10,组1,electrode_contact,r10,RIGHT,10,,right,组1_row_literal_P0008,RIGHT,,,0.0,0.0,0.0,connected,gap<=1.8,closed_form_cylinder_plane,,0,True,,,,,,,,,
A_row_literal,row_literal,disconnected_fragments,组1:ELECTRODE:RIGHT:r11,组1,electrode_contact,r11,RIGHT,11,,right,组1_row_literal_P0009,RIGHT,,,0.0,0.0,0.0,connected,gap<=1.8,closed_form_cylinder_plane,,0,True,,,,,,,,,
A_row_literal,row_literal,disconnected_fragments,组1:ELECTRODE:RIGHT:r12,组1,electrode_contact,r12,RIGHT,12,,right,组1_row_literal_P0010,RIGHT,,,0.0,0.0,0.0,connected,gap<=1.8,closed_form_cylinder_plane,,0,True,,,,,,,,,
A_row_literal,row_literal,disconnected_fragments,组1:ELECTRODE:RIGHT:r14,组1,electrode_contact,r14,RIGHT,14,,right,组1_row_literal_P0012,RIGHT,,,0.0,0.0,0.0,connected,gap<=1.8,closed_form_cylinder_plane,,0,True,,,,,,,,,
A_row_literal,row_literal,disconnected_fragments,组1:PAIR:r3:r6,组1,cylinder_contact,r3,r6,3,6,,组1_row_literal_P0001,组1_row_literal_P0004,,,0.0,2.170009413277917e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,5,True,3.1776437161565096e-14,3.1776437161565096e-14,True,,,,,,
A_row_literal,row_literal,disconnected_fragments,组1:PAIR:r11:r12,组1,cylinder_contact,r11,r12,11,12,,组1_row_literal_P0009,组1_row_literal_P0010,,,0.0,2.0966613025182378e-10,0.0,connected,gap<=1.8,capsule_then_flat_cylinder_gjk,0.0,4,True,3.4107901638000697e-13,3.4107901638000697e-13,True,,,,,,
A_row_literal,row_literal,disconnected_fragments,组2:ELECTRODE:LEFT:r3,组2,electrode_contact,LEFT,r3,,3,left,LEFT,组2_row_literal_P0001,,,0.0,0.0,0.0,connected,gap<=1.8,closed_form_cylinder_plane,,0,True,,,,,,,,,
