scenario,sheet,reconstruction_scenario,internal_mode,row_count,particle_count,residual_particle_count,periodic_junction_count,internal_edges_enabled,physical_edges,uncertain_physical_edges,conductive_definite,conductive_possible,conclusion,witness_row_nodes,witness_particle_path
A_row_literal,组1,row_literal,disconnected_fragments,12,12,10,0,0,9,0,False,False,nonconductive,-,-
A_row_literal,组2,row_literal,disconnected_fragments,49,49,38,0,0,49,0,True,True,conductive,LEFT -> r13 -> r14 -> r26 -> r41 -> RIGHT,LEFT -> 组2_row_literal_P0011[r13;cannot_reconstruct] -> 组2_row_literal_P0012[r14;unique] -> 组2_row_literal_P0024[r26;unique] -> 组2_row_literal_P0039[r41;cannot_reconstruct] -> RIGHT
A_row_literal,组3,row_literal,disconnected_fragments,535,535,380,0,0,347,0,True,True,conductive,LEFT -> r65 -> r266 -> r218 -> r353 -> RIGHT,LEFT -> 组3_row_literal_P0063[r65;cannot_reconstruct] -> 组3_row_literal_P0264[r266;unique] -> 组3_row_literal_P0216[r218;unique] -> 组3_row_literal_P0351[r353;cannot_reconstruct] -> RIGHT
A_row_literal,组1,row_literal,connected_same_particle,12,12,10,0,0,9,0,False,False,nonconductive,-,-
A_row_literal,组2,row_literal,connected_same_particle,49,49,38,0,0,49,0,True,True,conductive,LEFT -> r13 -> r14 -> r26 -> r41 -> RIGHT,LEFT -> 组2_row_literal_P0011[r13;cannot_reconstruct] -> 组2_row_literal_P0012[r14;unique] -> 组2_row_literal_P0024[r26;unique] -> 组2_row_literal_P0039[r41;cannot_reconstruct] -> RIGHT
A_row_literal,组3,row_literal,connected_same_particle,535,535,380,0,0,347,0,True,True,conductive,LEFT -> r65 -> r266 -> r218 -> r353 -> RIGHT,LEFT -> 组3_row_literal_P0063[r65;cannot_reconstruct] -> 组3_row_literal_P0264[r266;unique] -> 组3_row_literal_P0216[r218;unique] -> 组3_row_literal_P0351[r353;cannot_reconstruct] -> RIGHT
B_full_cube_periodic,组1,full_cube_periodic,disconnected_fragments,12,9,5,3,0,9,0,False,False,nonconductive,-,-
B_full_cube_periodic,组2,full_cube_periodic,disconnected_fragments,49,39,23,10,0,49,0,True,True,conductive,LEFT -> r13 -> r14 -> r26 -> r41 -> RIGHT,LEFT -> 组2_full_cube_periodic_P0011[r13;unique] -> 组2_full_cube_periodic_P0012[r14;unique] -> 组2_full_cube_periodic_P0024[r26;unique] -> 组2_full_cube_periodic_P0010[r41;unique] -> RIGHT
B_full_cube_periodic,组3,full_cube_periodic,disconnected_fragments,535,357,52,178,0,347,0,True,True,conductive,LEFT -> r65 -> r266 -> r218 -> r353 -> RIGHT,LEFT -> 组3_full_cube_periodic_P0063[r65;cannot_reconstruct] -> 组3_full_cube_periodic_P0223[r266;unique] -> 组3_full_cube_periodic_P0191[r218;unique] -> 组3_full_cube_periodic_P0296[r353;cannot_reconstruct] -> RIGHT
B_full_cube_periodic,组1,full_cube_periodic,connected_same_particle,12,9,5,3,3,9,0,True,True,conductive,LEFT -> r4 -> r12 -> RIGHT,"LEFT -> 组1_full_cube_periodic_P0002[r4,r12;unique] -> RIGHT"
B_full_cube_periodic,组2,full_cube_periodic,connected_same_particle,49,39,23,10,10,49,0,True,True,conductive,LEFT -> r12 -> r41 -> RIGHT,"LEFT -> 组2_full_cube_periodic_P0010[r12,r41;unique] -> RIGHT"
B_full_cube_periodic,组3,full_cube_periodic,connected_same_particle,535,357,52,178,178,347,0,True,True,conductive,LEFT -> r10 -> r452 -> RIGHT,"LEFT -> 组3_full_cube_periodic_P0008[r10,r452;unique] -> RIGHT"
C_thin_12_full_3,组1,thin_prism_periodic,disconnected_fragments,12,7,2,5,0,9,0,False,False,nonconductive,-,-
C_thin_12_full_3,组2,thin_prism_periodic,disconnected_fragments,49,28,4,21,0,49,0,True,True,conductive,LEFT -> r13 -> r14 -> r26 -> r41 -> RIGHT,LEFT -> 组2_thin_prism_periodic_P0011[r13;unique] -> 组2_thin_prism_periodic_P0012[r14;unique] -> 组2_thin_prism_periodic_P0021[r26;unique] -> 组2_thin_prism_periodic_P0010[r41;unique] -> RIGHT
C_thin_12_full_3,组3,full_cube_periodic,disconnected_fragments,535,357,52,178,0,347,0,True,True,conductive,LEFT -> r65 -> r266 -> r218 -> r353 -> RIGHT,LEFT -> 组3_full_cube_periodic_P0063[r65;cannot_reconstruct] -> 组3_full_cube_periodic_P0223[r266;unique] -> 组3_full_cube_periodic_P0191[r218;unique] -> 组3_full_cube_periodic_P0296[r353;cannot_reconstruct] -> RIGHT
C_thin_12_full_3,组1,thin_prism_periodic,connected_same_particle,12,7,2,5,5,9,0,True,True,conductive,LEFT -> r4 -> r12 -> RIGHT,"LEFT -> 组1_thin_prism_periodic_P0002[r4,r12;unique] -> RIGHT"
C_thin_12_full_3,组2,thin_prism_periodic,connected_same_particle,49,28,4,21,21,49,0,True,True,conductive,LEFT -> r11 -> r50 -> RIGHT,"LEFT -> 组2_thin_prism_periodic_P0009[r11,r50;unique] -> RIGHT"
C_thin_12_full_3,组3,full_cube_periodic,connected_same_particle,535,357,52,178,178,347,0,True,True,conductive,LEFT -> r10 -> r452 -> RIGHT,"LEFT -> 组3_full_cube_periodic_P0008[r10,r452;unique] -> RIGHT"
