n_a,n_b,successes,trials,estimate,cost_weight,cost_yuan,a_cost_yuan,b_cost_yuan,a_volume_um3,b_volume_um3,total_volume_um3,a_volume_percent,b_volume_percent,total_volume_percent,cp_one_sided_95_lower,cp_one_sided_family_lower,family_size
612,12,45000,50000,0.9,347772,9.104649669368579,9.084543476385605,0.020106192982974676,8.651946167986289,0.4021238596594936,9.054070027645782,0.8651946167986289,0.04021238596594936,0.9054070027645782,0.8977660037689393,0.8977660037689393,1
613,4,45002,50000,0.90004,347827,9.106089566001474,9.099387501673815,0.006702064327658225,8.666083334927443,0.13404128655316452,8.800124621480608,0.8666083334927442,0.013404128655316452,0.8800124621480607,0.8978063943843658,0.8978063943843658,1
611,24,45007,50000,0.90014,347973,9.109911837063342,9.069699451097392,0.04021238596594935,8.637809001045134,0.8042477193189872,9.442056720364121,0.8637809001045135,0.08042477193189872,0.9442056720364121,0.8979073713999849,0.8979073713999849,1
609,42,45002,50000,0.90004,347991,9.11038307596138,9.040011400520969,0.07037167544041137,8.609534667162826,1.4074335088082275,10.016968175971053,0.8609534667162826,0.14074335088082277,1.0016968175971053,0.8978063943843658,0.8978063943843658,1
608,51,45005,50000,0.9001,348000,9.1106186954104,9.025167375232757,0.08545132017764237,8.595397500221672,1.7090264035528477,10.30442390377452,0.8595397500221672,0.17090264035528477,1.030442390377452,0.8978669805119213,0.8978669805119213,1
610,35,45012,50000,0.90024,348110,9.113498488676191,9.054855425809182,0.05864306286700947,8.62367183410398,1.1728612573401895,9.79653309144417,0.8623671834103981,0.11728612573401895,0.979653309144417,0.8980083490978338,0.8980083490978338,1
607,63,45007,50000,0.90014,348201,9.115880863105163,9.010323349944546,0.10555751316061704,8.581260333280518,2.111150263212341,10.69241059649286,0.8581260333280518,0.2111150263212341,1.0692410596492858,0.8979073713999849,0.8979073713999849,1
614,1,45062,50000,0.90124,348202,9.115907043043942,9.114231526962028,0.0016755160819145562,8.680220501868597,0.03351032163829113,8.713730823506888,0.8680220501868597,0.003351032163829113,0.8713730823506887,0.899018163800744,0.899018163800744,1
606,73,45008,50000,0.90016,348274,9.117791998636097,8.995479324656333,0.1223126739797626,8.567123166339364,2.4462534795952524,11.013376645934617,0.8567123166339364,0.24462534795952523,1.1013376645934618,0.8979275668849466,0.8979275668849466,1
605,83,45009,50000,0.90018,348347,9.11970313416703,8.980635299368123,0.13906783479890816,8.55298599939821,2.7813566959781637,11.334342695376375,0.8552985999398209,0.2781356695978164,1.1334342695376374,0.8979477623972059,0.8979477623972059,1
604,93,45001,50000,0.90002,348420,9.121614269697965,8.96579127407991,0.15582299561805374,8.538848832457056,3.116459912361075,11.65530874481813,0.8538848832457057,0.3116459912361075,1.1655308744818131,0.8977861990630301,0.8977861990630301,1
603,105,45005,50000,0.9001,348621,9.126876437392728,8.950947248791698,0.1759291886010284,8.524711665515902,3.518583772020569,12.043295437536472,0.8524711665515902,0.35185837720205687,1.2043295437536472,0.8978669805119213,0.8978669805119213,1
602,115,45013,50000,0.90026,348694,9.128787572923661,8.936103223503487,0.19268434942017396,8.510574498574748,3.85368698840348,12.364261486978227,0.8510574498574748,0.385368698840348,1.2364261486978227,0.8980285447193513,0.8980285447193513,1
601,125,45000,50000,0.9,348767,9.130698708454595,8.921259198215274,0.20943951023931953,8.496437331633594,4.188790204786391,12.685227536419985,0.8496437331633594,0.4188790204786391,1.2685227536419985,0.8977660037689393,0.8977660037689393,1
