N_A,N_B,cost_yuan
1,5421,9.0978168034
11,5332,9.0971361235
21,5243,9.0964554436
31,5155,9.0974502798
41,5066,9.0967695999
51,4978,9.0977644361
61,4889,9.0970837562
71,4800,9.0964030763
81,4712,9.0973979125
91,4623,9.0967172326
101,4535,9.0977120688
111,4446,9.0970313889
121,4357,9.096350709
131,4269,9.0973455452
141,4180,9.0966648653
151,4092,9.0976597015
161,4003,9.096979021600001
171,3914,9.096298341699999
181,3826,9.097293177900001
191,3737,9.096612497999999
201,3649,9.0976073342
211,3560,9.096926654299999
221,3472,9.0979214905
231,3383,9.097240810599999
241,3294,9.0965601307
251,3206,9.097554966899999
261,3117,9.096874287
271,3029,9.097869123199999
281,2940,9.0971884433
291,2851,9.0965077634
301,2763,9.0975025996
311,2674,9.096821919700002
321,2586,9.0978167559
331,2497,9.097136076000002
341,2408,9.0964553961
351,2320,9.0974502323
361,2231,9.0967695524
371,2143,9.0977643886
381,2054,9.0970837087
391,1965,9.096403028800001
401,1877,9.097397865
411,1788,9.096717185100001
421,1700,9.097712021300001
431,1611,9.097031341400001
441,1522,9.0963506615
451,1434,9.097345497700001
461,1345,9.0966648178
471,1257,9.097659654000001
481,1168,9.0969789741
491,1079,9.0962982942
499,1009,9.0977643696
