N_A,N_B,successes,trials,probability,standard_error,Wilson95_low,Wilson95_high
1,5421,0,1000,0,0,0,0.00382675848556
11,5332,0,1000,0,0,0,0.00382675848556
21,5243,0,1000,0,0,0,0.00382675848556
31,5155,0,1000,0,0,0,0.00382675848556
41,5066,0,1000,0,0,0,0.00382675848556
51,4978,2,1000,0.002,0.001412798641,0.000548643588121,0.00726280786349
61,4889,3,1000,0.003,0.00172945077987,0.00102078388114,0.0087830140535
71,4800,6,1000,0.006,0.00244213021766,0.00275266914188,0.0130281682419
81,4712,7,1000,0.007,0.00263647491928,0.00339486840099,0.0143783154658
91,4623,12,1000,0.012,0.00344325427467,0.0068776478064,0.0208572684755
101,4535,16,1000,0.016,0.00396787096564,0.00987224200228,0.0258320602117
111,4446,22,1000,0.022,0.00463853425125,0.0145727077648,0.0330856733474
121,4357,31,1000,0.031,0.00548078461536,0.0219240034472,0.0436654960123
131,4269,37,1000,0.037,0.00596917079669,0.0269611808756,0.0505823974821
141,4180,56,1000,0.056,0.0072707633712,0.0433748133854,0.0720233481497
151,4092,65,1000,0.065,0.00779583221985,0.0513237705691,0.0820055093134
161,4003,73,1000,0.073,0.00822623850858,0.0584590262124,0.0908090255343
171,3914,86,1000,0.086,0.00886588969027,0.0701685247758,0.10500003125
181,3826,99,1000,0.099,0.0094445222219,0.0819954413687,0.119073618937
191,3737,112,1000,0.112,0.00997276290704,0.0939195409089,0.133050023676
201,3649,138,1000,0.138,0.0109066951915,0.11800457327,0.160765999874
211,3560,153,1000,0.153,0.011383804285,0.132019215624,0.176636554765
221,3472,189,1000,0.189,0.0123805896467,0.165941862075,0.214438381703
231,3383,225,1000,0.225,0.0132051126462,0.200198955142,0.251905762025
241,3294,242,1000,0.242,0.013543854695,0.216474287299,0.26950032008
251,3206,269,1000,0.269,0.0140228028582,0.242438191285,0.297329771135
261,3117,302,1000,0.302,0.0145188153787,0.274345737877,0.331169658483
271,3029,324,1000,0.324,0.0147994594496,0.295714822272,0.353632196715
281,2940,370,1000,0.37,0.01526761278,0.340626675334,0.400368281872
291,2851,402,1000,0.402,0.0155047089621,0.37204223356,0.432707811103
301,2763,441,1000,0.441,0.0157009235397,0.410510641584,0.471940915917
311,2674,466,1000,0.466,0.0157747900145,0.43527102981,0.496989189767
321,2586,505,1000,0.505,0.0158105977117,0.474052007216,0.535909725199
331,2497,524,1000,0.524,0.0157931630777,0.493013274021,0.554803041572
341,2408,535,1000,0.535,0.015772602829,0.504011245657,0.565720881249
351,2320,563,1000,0.563,0.0156853753541,0.532074075299,0.593443753132
361,2231,594,1000,0.594,0.0155294558823,0.56325927454,0.624021294865
371,2143,644,1000,0.644,0.0151414662434,0.613823930034,0.673073963522
381,2054,668,1000,0.668,0.0148921455808,0.638217844041,0.696496365108
391,1965,689,1000,0.689,0.0146382717559,0.659632073287,0.716921412006
401,1877,706,1000,0.706,0.0144070815921,0.677017384524,0.73340599098
411,1788,718,1000,0.718,0.0142294061717,0.689317558514,0.745013974786
421,1700,726,1000,0.726,0.0141040419738,0.69753112994,0.752739175225
431,1611,729,1000,0.729,0.0140555682916,0.700614064351,0.755633280262
441,1522,747,1000,0.747,0.0137473997541,0.719145380894,0.772964200414
451,1434,763,1000,0.763,0.0134473417447,0.735668489297,0.78831863574
461,1345,777,1000,0.777,0.013163244281,0.750168106028,0.801711869771
471,1257,786,1000,0.786,0.0129693484802,0.759511179361,0.810299914786
481,1168,804,1000,0.804,0.012553246592,0.778252335929,0.827420994912
491,1079,811,1000,0.811,0.0123805896467,0.785561618297,0.834058137925
499,1009,815,1000,0.815,0.0122790471943,0.789743945939,0.837845196215
