N_A,N_B,cost_yuan
500,1000,9.09752875
501,991,9.0972931304
502,982,9.0970575108
503,973,9.096821891200001
504,964,9.096586271600001
505,955,9.096350652
506,947,9.0977905485
507,938,9.0975549289
508,929,9.097319309300001
509,920,9.0970836897
510,911,9.0968480701
511,902,9.0966124505
512,893,9.0963768309
513,885,9.097816727400001
514,876,9.0975811078
515,867,9.0973454882
516,858,9.0971098686
517,849,9.096874249
518,840,9.096638629400001
519,831,9.096403009800001
520,823,9.0978429063
521,814,9.0976072867
522,805,9.097371667100001
523,796,9.097136047500001
524,787,9.096900427900001
525,778,9.0966648083
526,769,9.0964291887
527,761,9.0978690852
528,752,9.097633465600001
529,743,9.097397846
530,734,9.0971622264
531,725,9.0969266068
532,716,9.0966909872
533,707,9.0964553676
534,699,9.0978952641
535,690,9.0976596445
536,681,9.0974240249
537,672,9.0971884053
538,663,9.096952785700001
539,654,9.0967171661
540,645,9.096481546500002
541,637,9.097921443
542,628,9.097685823399999
543,619,9.097450203800001
544,610,9.097214584200001
545,601,9.096978964600002
546,592,9.096743345
547,583,9.0965077254
548,574,9.0962721058
549,566,9.097712002300002
550,557,9.097476382700002
551,548,9.0972407631
552,539,9.0970051435
553,530,9.0967695239
554,521,9.096533904300001
555,512,9.0962982847
556,504,9.0977381812
557,495,9.0975025616
558,486,9.097266942000001
559,477,9.097031322400001
560,468,9.0967957028
561,459,9.0965600832
562,450,9.0963244636
563,442,9.097764360100001
564,433,9.0975287405
565,424,9.0972931209
566,415,9.0970575013
567,406,9.0968218817
568,397,9.0965862621
569,388,9.0963506425
570,380,9.097790539
571,371,9.0975549194
572,362,9.0973192998
573,353,9.097083680199999
574,344,9.0968480606
575,335,9.096612441000001
576,326,9.096376821400002
577,318,9.0978167179
578,309,9.0975810983
579,300,9.0973454787
580,291,9.097109859100001
581,282,9.096874239500002
582,273,9.0966386199
583,264,9.0964030003
584,256,9.097842896800001
585,247,9.097607277200002
586,238,9.097371657600002
587,229,9.097136038
588,220,9.0969004184
589,211,9.096664798800001
