N_A,N_B,successes,trials,probability,standard_error,Wilson95_low,Wilson95_high
500,1000,4192,5000,0.8384,0.00520548633655,0.827938252652,0.848342166672
501,991,4203,5000,0.8406,0.00517671015221,0.830192880567,0.850484160868
502,982,4210,5000,0.842,0.00515821674612,0.831627998344,0.851846893526
503,973,4213,5000,0.8426,0.0051502473727,0.832243134144,0.852430836483
504,964,4215,5000,0.843,0.00514491982445,0.832653253295,0.852820103171
505,955,4228,5000,0.8456,0.00511000273973,0.835319591055,0.855349773361
506,947,4243,5000,0.8486,0.00506908354636,0.838397367167,0.858267391037
507,938,4253,5000,0.8506,0.00504142122819,0.840449966616,0.860211720781
508,929,4249,5000,0.8498,0.00505252332998,0.839628854139,0.85943406158
509,920,4256,5000,0.8512,0.00503306189114,0.841065865037,0.860794901117
510,911,4260,5000,0.852,0.00502187216086,0.841887148873,0.861572388958
511,902,4256,5000,0.8512,0.00503306189114,0.841065865037,0.860794901117
512,893,4256,5000,0.8512,0.00503306189114,0.841065865037,0.860794901117
513,885,4265,5000,0.853,0.00500781389431,0.84291389271,0.862544109717
514,876,4264,5000,0.8528,0.00501063189628,0.842708531528,0.86234977798
515,867,4263,5000,0.8526,0.00501344671858,0.842503176563,0.862155440025
516,858,4269,5000,0.8538,0.00499650998198,0.843735399826,0.863321374277
517,849,4274,5000,0.8548,0.00498230789896,0.844762424891,0.864292813809
518,840,4273,5000,0.8546,0.00498515476189,0.844557007272,0.864098538508
519,831,4270,5000,0.854,0.0049936760007,0.843940792255,0.863515674768
520,823,4277,5000,0.8554,0.00497374788263,0.845378715734,0.864875601723
521,814,4282,5000,0.8564,0.00495941609466,0.846405994426,0.865846787628
522,805,4294,5000,0.8588,0.00492468394925,0.848872120004,0.86817697708
523,796,4298,5000,0.8596,0.00491299989823,0.849694370437,0.868953498324
524,787,4305,5000,0.861,0.00489242271273,0.851133563071,0.870312156125
525,778,4309,5000,0.8618,0.00488058930868,0.85195610553,0.871088385343
526,769,4313,5000,0.8626,0.00486870085341,0.852778755627,0.871864506922
527,761,4315,5000,0.863,0.00486273585546,0.853190121286,0.872252527102
528,752,4325,5000,0.865,0.00483270110808,0.855247359695,0.874192217885
529,743,4342,5000,0.8684,0.0047808250334,0.858746262335,0.877488094872
530,734,4338,5000,0.8676,0.00479312507661,0.857922807528,0.876712778002
531,725,4339,5000,0.8678,0.00479005553204,0.858128660543,0.876906617906
532,716,4339,5000,0.8678,0.00479005553204,0.858128660543,0.876906617906
533,707,4340,5000,0.868,0.00478698234799,0.858334520673,0.877100450695
534,699,4339,5000,0.8678,0.00479005553204,0.858128660543,0.876906617906
535,690,4338,5000,0.8676,0.00479312507661,0.857922807528,0.876712778002
536,681,4343,5000,0.8686,0.00477774088875,0.858952143893,0.877681906233
537,672,4342,5000,0.8684,0.0047808250334,0.858746262335,0.877488094872
538,663,4349,5000,0.8698,0.00475915874919,0.860187584313,0.878844623328
539,654,4355,5000,0.871,0.00474044301727,0.861423285904,0.880007079253
540,645,4356,5000,0.8712,0.00473731062946,0.861629261777,0.880200796299
541,637,4349,5000,0.8698,0.00475915874919,0.860187584313,0.878844623328
