N_A,N_B,successes,trials,probability,standard_error,Wilson95_low,Wilson95_high
1,4765,0,100,0,0,0,0.036993498207
31,4500,0,100,0,0,0,0.036993498207
61,4234,0,100,0,0,0,0.036993498207
91,3968,1,100,0.01,0.00994987437107,0.00176743206414,0.0544861961787
121,3702,1,100,0.01,0.00994987437107,0.00176743206414,0.0544861961787
151,3436,3,100,0.03,0.0170587221092,0.010254524024,0.0845193642905
181,3171,4,100,0.04,0.0195959179423,0.0156633039915,0.0983707143589
211,2905,7,100,0.07,0.0255147016443,0.0343192610673,0.137495147391
241,2639,11,100,0.11,0.0312889756943,0.0625419635706,0.186312965031
271,2373,16,100,0.16,0.0366606055596,0.100952884888,0.244202693893
301,2107,20,100,0.2,0.04,0.133366933331,0.288829165593
331,1842,23,100,0.23,0.042083250825,0.158432658803,0.321543830229
361,1576,31,100,0.31,0.0462493243194,0.227796972124,0.406260557195
391,1310,36,100,0.36,0.048,0.272712204014,0.457645975484
421,1044,45,100,0.45,0.0497493718553,0.356145379795,0.547553970026
451,779,53,100,0.53,0.0499099188539,0.432888569701,0.624891820407
481,513,62,100,0.62,0.048538644398,0.522097552955,0.709024007475
511,247,61,100,0.61,0.048774993593,0.512030170458,0.699831259936
538,8,66,100,0.66,0.0473708771293,0.562777288547,0.745384792027
