N_A,N_B,successes,trials,probability,standard_error,Wilson95_low,Wilson95_high
540,635,1733,2000,0.8665,0.00760518737442,0.85088923797,0.880705566373
545,590,1735,2000,0.8675,0.00758102070964,0.851934497787,0.881656472462
550,546,1737,2000,0.8685,0.0075567105939,0.852980037009,0.882607099145
555,502,1759,2000,0.8795,0.00727941446821,0.864500218082,0.893044743031
560,457,1768,2000,0.884,0.00716044691343,0.869223782349,0.897303925339
565,413,1768,2000,0.884,0.00716044691343,0.869223782349,0.897303925339
570,369,1786,2000,0.893,0.00691198234951,0.878691402312,0.905801798525
575,325,1803,2000,0.9015,0.00666324808183,0.887660419717,0.913800191316
580,280,1802,2000,0.901,0.00667828570817,0.887132040574,0.913330487506
585,236,1803,2000,0.9015,0.00666324808183,0.887660419717,0.913800191316
590,192,1790,2000,0.895,0.00685474288358,0.880799257813,0.907686274835
595,147,1793,2000,0.8965,0.00681130494105,0.882381138194,0.909098643312
600,103,1791,2000,0.8955,0.00684031249286,0.881326456119,0.908157159481
605,59,1791,2000,0.8955,0.00684031249286,0.881326456119,0.908157159481
610,15,1799,2000,0.8995,0.00672308522927,0.885547512404,0.911920766818
611,6,1797,2000,0.8985,0.00675269390688,0.884491661311,0.910980452006
