N_A,N_B,cost_yuan
1,5362,8.9989613535
21,5185,8.999275509799999
41,5008,8.9995896661
61,4831,8.999903822399999
81,4653,8.9985424626
101,4476,8.9988566189
121,4299,8.9991707752
141,4122,8.9994849315
161,3945,8.9997990878
181,3767,8.998437728
201,3590,8.9987518843
221,3413,8.9990660406
241,3236,8.9993801969
261,3059,8.9996943532
281,2881,8.9983329934
301,2704,8.9986471497
321,2527,8.998961306
341,2350,8.9992754623
361,2173,8.9995896186
381,1996,8.9999037749
401,1818,8.9985424151
421,1641,8.998856571400001
441,1464,8.999170727700001
461,1287,8.999484884000001
481,1110,8.999799040300001
501,932,8.9984376805
521,755,8.9987518368
541,578,8.9990659931
561,401,8.9993801494
581,224,8.9996943057
601,46,8.9983329459
606,2,8.998830364
