N_A,N_B,successes,trials,probability,standard_error,Wilson95_low,Wilson95_high
1,5362,0,200,0,0,0,0.0188453263773
21,5185,0,200,0,0,0,0.0188453263773
41,5008,0,200,0,0,0,0.0188453263773
61,4831,0,200,0,0,0,0.0188453263773
81,4653,1,200,0.005,0.00498748433582,0.000883168715601,0.0277737043979
101,4476,4,200,0.02,0.00989949493661,0.00780442641635,0.0502870869058
121,4299,6,200,0.03,0.0120623380818,0.0138203143401,0.0638942924545
141,4122,15,200,0.075,0.0186245805322,0.0459749171844,0.120043610236
161,3945,20,200,0.1,0.0212132034356,0.0656704486691,0.149405812433
181,3767,22,200,0.11,0.0221246468898,0.0737724446013,0.160926909973
201,3590,31,200,0.155,0.0255905255905,0.111396369277,0.211606905923
221,3413,40,200,0.2,0.0282842712475,0.150452009261,0.260855186565
241,3236,53,200,0.265,0.0312069703752,0.208681541471,0.330175761926
261,3059,62,200,0.31,0.0327032108515,0.249989448361,0.377171775663
281,2881,69,200,0.345,0.0336136133137,0.282597943767,0.413244107409
301,2704,77,200,0.385,0.0344074846509,0.320333097269,0.454001327798
321,2527,82,200,0.41,0.0347778665246,0.344156749085,0.479235409663
341,2350,103,200,0.515,0.0353394255754,0.446108491927,0.583326148281
361,2173,110,200,0.55,0.0351781181987,0.480756151385,0.617359315978
381,1996,128,200,0.64,0.033941125497,0.57141528166,0.703308026954
401,1818,134,200,0.67,0.0332490601371,0.602166847738,0.731425741294
421,1641,142,200,0.71,0.0320858224143,0.643625218992,0.768459743929
441,1464,148,200,0.74,0.0310161248385,0.675092543975,0.795861699364
461,1287,153,200,0.765,0.029981244137,0.701586311172,0.818425665848
481,1110,168,200,0.84,0.0259229627936,0.782859298379,0.884325879684
501,932,174,200,0.87,0.0237802439012,0.816336481278,0.909717977203
521,755,175,200,0.875,0.0233853586673,0.821985749974,0.913880255243
541,578,174,200,0.87,0.0237802439012,0.816336481278,0.909717977203
561,401,172,200,0.86,0.0245356882928,0.805101191343,0.901330173665
581,224,178,200,0.89,0.0221246468898,0.839073090027,0.926227555399
601,46,182,200,0.91,0.0202361063448,0.862234281233,0.942312551138
606,2,183,200,0.915,0.0197199137929,0.868104129284,0.946254249823
