N_A,N_B,successes,trials,probability,standard_error,Wilson95_low,Wilson95_high
520,836,4302,5000,0.8604,0.00490126187833,0.850516726395,0.869729914043
521,827,4300,5000,0.86,0.00490713765855,0.850105535178,0.869341719421
522,818,4305,5000,0.861,0.00489242271273,0.851133563071,0.870312156125
523,809,4308,5000,0.8616,0.00488355280508,0.851750459855,0.870894338099
524,800,4314,5000,0.8628,0.00486572009059,0.852984435062,0.872058520407
525,791,4329,5000,0.8658,0.00482058834583,0.856070448351,0.874967900906
526,783,4334,5000,0.8668,0.00480536699951,0.85709946635,0.875937347503
527,774,4335,5000,0.867,0.00480231194322,0.857305291039,0.876131215733
528,765,4336,5000,0.8672,0.00479925327525,0.85751112279,0.876325076902
529,756,4353,5000,0.8706,0.00474669653549,0.861011356165,0.879619623154
530,747,4353,5000,0.8706,0.00474669653549,0.861011356165,0.879619623154
531,738,4354,5000,0.8708,0.00474357165014,0.861217317371,0.879813354866
532,729,4358,5000,0.8716,0.00473103455916,0.862041235605,0.88058820831
533,721,4363,5000,0.8726,0.00471527814662,0.863071299661,0.881556608849
534,712,4363,5000,0.8726,0.00471527814662,0.863071299661,0.881556608849
535,703,4354,5000,0.8708,0.00474357165014,0.861217317371,0.879813354866
536,694,4357,5000,0.8714,0.00473417447925,0.861835245006,0.880394505989
537,685,4357,5000,0.8714,0.00473417447925,0.861835245006,0.880394505989
538,676,4366,5000,0.8732,0.00470577857533,0.86368942748,0.882137559788
539,667,4367,5000,0.8734,0.00470260438481,0.863895485074,0.882331195113
540,659,4373,5000,0.8746,0.00468347819468,0.865131989073,0.883492848629
541,650,4375,5000,0.875,0.00467707173347,0.865544217799,0.883880005742
542,641,4368,5000,0.8736,0.00469942634797,0.864101550187,0.882524822919
543,632,4368,5000,0.8736,0.00469942634797,0.864101550187,0.882524822919
544,623,4366,5000,0.8732,0.00470577857533,0.86368942748,0.882137559788
545,614,4372,5000,0.8744,0.00468667558084,0.864925886135,0.883299258648
546,605,4378,5000,0.8756,0.00466743269903,0.866162618247,0.884460684052
547,597,4378,5000,0.8756,0.00466743269903,0.866162618247,0.884460684052
548,588,4378,5000,0.8756,0.00466743269903,0.866162618247,0.884460684052
549,579,4376,5000,0.8752,0.0046738626424,0.865750343618,0.884073572842
550,570,4379,5000,0.8758,0.00466421183052,0.866368767088,0.88465422813
551,561,4386,5000,0.8772,0.00464155491188,0.867812025644,0.886008820009
552,552,4386,5000,0.8772,0.00464155491188,0.867812025644,0.886008820009
553,543,4385,5000,0.877,0.00464480354805,0.867605822523,0.88581533021
554,535,4392,5000,0.8784,0.00462197879701,0.869049409146,0.887169594021
555,526,4391,5000,0.8782,0.00462525156073,0.868843158863,0.886976151385
556,517,4402,5000,0.8804,0.0045890269121,0.871112350308,0.889103582053
557,508,4404,5000,0.8808,0.00458238715082,0.871525035068,0.889490283131
558,499,4406,5000,0.8812,0.00457573076131,0.87193775233,0.889876951707
559,490,4408,5000,0.8816,0.0045690576709,0.872350502235,0.89026358764
560,481,4411,5000,0.8822,0.00455901656062,0.872969688612,0.890843480021
561,472,4419,5000,0.8838,0.00453205383904,0.874621216662,0.892389495325
562,464,4424,5000,0.8848,0.00451506279026,0.875653694047,0.893355482536
563,455,4418,5000,0.8836,0.00453543911876,0.874414746457,0.892196272611
564,446,4420,5000,0.884,0.00452866426223,0.874827695267,0.89258270964
565,437,4416,5000,0.8832,0.00454219682533,0.874001831166,0.891809802063
566,428,4415,5000,0.883,0.00454556927128,0.873795386044,0.891616554266
567,419,4419,5000,0.8838,0.00453205383904,0.874621216662,0.892389495325
568,410,4423,5000,0.8846,0.00451846965244,0.875447181659,0.893162302005
569,402,4423,5000,0.8846,0.00451846965244,0.875447181659,0.893162302005
570,393,4429,5000,0.8858,0.00449796309456,0.876686383775,0.894321257404
571,384,4432,5000,0.8864,0.00448765061029,0.877306100544,0.894900619392
572,375,4442,5000,0.8884,0.00445298641363,0.879372388402,0.896831260727
573,366,4440,5000,0.888,0.00445995515673,0.878959060663,0.896445202628
574,357,4442,5000,0.8884,0.00445298641363,0.879372388402,0.896831260727
575,348,4440,5000,0.888,0.00445995515673,0.878959060663,0.896445202628
576,340,4437,5000,0.8874,0.00447037448096,0.878339135091,0.895866049442
577,331,4441,5000,0.8882,0.00445647304491,0.879165720116,0.896638236094
578,322,4445,5000,0.889,0.00444249929657,0.87999244646,0.897410281427
579,313,4450,5000,0.89,0.00442492937797,0.881026055157,0.898375137326
580,304,4454,5000,0.8908,0.00441079040536,0.881853104387,0.899146859772
