N_A,N_B,cost_yuan
520,836,9.1196246156
521,827,9.119388996
522,818,9.1191533764
523,809,9.1189177568
524,800,9.1186821372
525,791,9.1184465176
526,783,9.119886414100002
527,774,9.1196507945
528,765,9.1194151749
529,756,9.1191795553
530,747,9.1189439357
531,738,9.118708316100001
532,729,9.1184726965
533,721,9.119912593
534,712,9.1196769734
535,703,9.119441353800001
536,694,9.1192057342
537,685,9.1189701146
538,676,9.118734495
539,667,9.1184988754
540,659,9.119938771900001
541,650,9.119703152300001
542,641,9.1194675327
543,632,9.1192319131
544,623,9.1189962935
545,614,9.1187606739
546,605,9.1185250543
547,597,9.1199649508
548,588,9.1197293312
549,579,9.1194937116
550,570,9.119258092
551,561,9.1190224724
552,552,9.1187868528
553,543,9.118551233200002
554,535,9.1199911297
555,526,9.1197555101
556,517,9.1195198905
557,508,9.1192842709
558,499,9.119048651300002
559,490,9.118813031700002
560,481,9.1185774121
561,472,9.1183417925
562,464,9.119781689
563,455,9.119546069400002
564,446,9.1193104498
565,437,9.1190748302
566,428,9.118839210600001
567,419,9.118603591000001
568,410,9.118367971400001
569,402,9.1198078679
570,393,9.1195722483
571,384,9.119336628700001
572,375,9.119101009100001
573,366,9.1188653895
574,357,9.1186297699
575,348,9.1183941503
576,340,9.119834046800001
577,331,9.119598427200001
578,322,9.1193628076
579,313,9.119127188
580,304,9.1188915684
581,295,9.1186559488
582,286,9.1184203292
583,278,9.1198602257
584,269,9.1196246061
585,260,9.1193889865
586,251,9.119153366900001
587,242,9.1189177473
588,233,9.1186821277
589,224,9.1184465081
590,216,9.1198864046
591,207,9.119650785
592,198,9.1194151654
593,189,9.1191795458
594,180,9.1189439262
595,171,9.118708306600002
596,162,9.118472687
597,154,9.1199125835
598,145,9.1196769639
599,136,9.119441344300002
600,127,9.1192057247
601,118,9.1189701051
602,109,9.118734485500001
603,100,9.118498865900001
604,92,9.119938762400002
605,83,9.1197031428
606,74,9.1194675232
607,65,9.119231903600001
608,56,9.118996284000001
609,47,9.1187606644
610,38,9.1185250448
611,30,9.119964941300001
612,21,9.119729321700001
613,12,9.119493702100002
614,3,9.1192580825
