N_A,N_B,cost_yuan
1,5449,9.1447312542
31,5183,9.1443647306
61,4917,9.143998207
91,4652,9.1453071995
121,4386,9.1449406759
151,4120,9.1445741523
181,3854,9.1442076287
211,3589,9.145516621199999
241,3323,9.1451500976
271,3057,9.144783574
301,2791,9.144417050400001
331,2525,9.144050526800001
361,2260,9.1453595193
391,1994,9.144992995700001
421,1728,9.1446264721
451,1462,9.1442599485
481,1197,9.145568941
511,931,9.1452024174
541,665,9.144835893800002
571,399,9.144469370200001
601,133,9.144102846600001
615,9,9.1441552044
