N_A,N_B,successes,trials,probability,standard_error,Wilson95_low,Wilson95_high
1,5449,0,100,0,0,0,0.036993498207
31,5183,0,100,0,0,0,0.036993498207
61,4917,0,100,0,0,0,0.036993498207
91,4652,3,100,0.03,0.0170587221092,0.010254524024,0.0845193642905
121,4386,4,100,0.04,0.0195959179423,0.0156633039915,0.0983707143589
151,4120,8,100,0.08,0.0271293199325,0.0410934614844,0.149981077009
181,3854,14,100,0.14,0.0346987031458,0.0852634365994,0.22137188211
211,3589,20,100,0.2,0.04,0.133366933331,0.288829165593
241,3323,27,100,0.27,0.0443959457608,0.192695841496,0.364321167679
271,3057,31,100,0.31,0.0462493243194,0.227796972124,0.406260557195
301,2791,38,100,0.38,0.048538644398,0.290975992525,0.477902447045
331,2525,47,100,0.47,0.0499099188539,0.375108179593,0.567111430299
361,2260,57,100,0.57,0.0495075751779,0.472153895492,0.662667014759
391,1994,68,100,0.68,0.0466476151588,0.583373813895,0.76330852675
421,1728,65,100,0.65,0.0476969600708,0.552544432969,0.736357517569
451,1462,74,100,0.74,0.0438634243989,0.646290105508,0.815953015353
481,1197,83,100,0.83,0.037563279942,0.744519952324,0.891064338859
511,931,88,100,0.88,0.0324961536185,0.801879005733,0.93000593563
541,665,91,100,0.91,0.0286181760425,0.837737871473,0.951927459997
571,399,91,100,0.91,0.0286181760425,0.837737871473,0.951927459997
601,133,91,100,0.91,0.0286181760425,0.837737871473,0.951927459997
615,9,93,100,0.93,0.0255147016443,0.862504852609,0.965680738933
