N_A,N_B,cost_yuan
500,1028,9.1444432008
501,1019,9.1442075812
502,1010,9.1439719616
503,1002,9.145411858100001
504,993,9.145176238500001
505,984,9.1449406189
506,975,9.1447049993
507,966,9.1444693797
508,957,9.1442337601
509,948,9.1439981405
510,940,9.145438037
511,931,9.1452024174
512,922,9.1449667978
513,913,9.1447311782
514,904,9.144495558600001
515,895,9.144259939000001
516,886,9.1440243194
517,878,9.1454642159
518,869,9.1452285963
519,860,9.144992976700001
520,851,9.1447573571
521,842,9.1445217375
522,833,9.1442861179
523,824,9.1440504983
524,816,9.145490394800001
525,807,9.1452547752
526,798,9.1450191556
527,789,9.144783536
528,780,9.1445479164
529,771,9.1443122968
530,762,9.144076677200001
531,754,9.1455165737
532,745,9.1452809541
533,736,9.1450453345
534,727,9.144809714900001
535,718,9.144574095300001
536,709,9.1443384757
537,700,9.1441028561
538,692,9.1455427526
539,683,9.145307133000001
540,674,9.145071513400001
541,665,9.144835893800002
542,656,9.1446002742
543,647,9.1443646546
544,638,9.144129035
545,630,9.145568931500001
546,621,9.1453333119
547,612,9.1450976923
548,603,9.1448620727
549,594,9.1446264531
550,585,9.144390833500001
551,576,9.1441552139
552,567,9.1439195943
553,559,9.1453594908
554,550,9.145123871200001
555,541,9.1448882516
556,532,9.144652632
557,523,9.1444170124
558,514,9.1441813928
559,505,9.1439457732
560,497,9.1453856697
561,488,9.1451500501
562,479,9.1449144305
563,470,9.1446788109
564,461,9.144443191299999
565,452,9.1442075717
566,443,9.143971952100001
567,435,9.1454118486
568,426,9.145176229
569,417,9.144940609399999
570,408,9.144704989800001
571,399,9.144469370200001
572,390,9.144233750600002
573,381,9.143998131
574,373,9.145438027500001
575,364,9.145202407900001
576,355,9.144966788300001
577,346,9.144731168700002
578,337,9.1444955491
579,328,9.1442599295
580,319,9.1440243099
581,311,9.145464206400002
582,302,9.1452285868
583,293,9.1449929672
584,284,9.1447573476
585,275,9.144521728
586,266,9.144286108400001
587,257,9.1440504888
588,249,9.1454903853
589,240,9.1452547657
590,231,9.145019146100001
591,222,9.1447835265
592,213,9.1445479069
593,204,9.1443122873
594,195,9.1440766677
595,187,9.145516564200001
596,178,9.1452809446
597,169,9.145045325
598,160,9.1448097054
599,151,9.1445740858
600,142,9.144338466199999
601,133,9.144102846600001
602,125,9.1455427431
603,116,9.1453071235
604,107,9.1450715039
605,98,9.1448358843
606,89,9.144600264700001
607,80,9.144364645100001
608,71,9.144129025500002
609,63,9.145568921999999
610,54,9.145333302400001
611,45,9.145097682800001
612,36,9.144862063200002
613,27,9.144626443600002
614,18,9.144390824
615,9,9.1441552044
