N_A,N_B,cost_yuan
1,5415,9.0877637068
2,5406,9.0875280872
3,5397,9.0872924676
4,5388,9.087056848
5,5379,9.0868212284
6,5370,9.0865856088
7,5361,9.086349989199999
8,5353,9.0877898857
9,5344,9.0875542661
10,5335,9.0873186465
11,5326,9.0870830269
12,5317,9.086847407299999
13,5308,9.086611787699999
14,5299,9.0863761681
15,5291,9.0878160646
16,5282,9.087580444999999
17,5273,9.087344825399999
18,5264,9.0871092058
19,5255,9.0868735862
20,5246,9.086637966600001
21,5237,9.086402347
22,5229,9.087842243499999
23,5220,9.0876066239
24,5211,9.087371004300001
25,5202,9.0871353847
26,5193,9.0868997651
27,5184,9.0866641455
28,5175,9.0864285259
29,5167,9.087868422400001
30,5158,9.0876328028
31,5149,9.0873971832
32,5140,9.0871615636
33,5131,9.086925944
34,5122,9.0866903244
35,5113,9.0864547048
36,5104,9.0862190852
37,5096,9.0876589817
38,5087,9.087423362100001
39,5078,9.0871877425
40,5069,9.0869521229
41,5060,9.0867165033
42,5051,9.0864808837
43,5042,9.086245264099999
44,5034,9.0876851606
45,5025,9.087449541
46,5016,9.0872139214
47,5007,9.0869783018
48,4998,9.086742682199999
49,4989,9.086507062599999
50,4980,9.086271443
51,4972,9.0877113395
52,4963,9.087475719899999
53,4954,9.087240100299999
54,4945,9.0870044807
55,4936,9.0867688611
56,4927,9.0865332415
57,4918,9.0862976219
58,4910,9.087737518399999
59,4901,9.0875018988
60,4892,9.087266279200001
61,4883,9.0870306596
62,4874,9.08679504
63,4865,9.0865594204
64,4856,9.0863238008
65,4848,9.087763697300002
66,4839,9.0875280777
67,4830,9.0872924581
68,4821,9.0870568385
69,4812,9.0868212189
70,4803,9.0865855993
71,4794,9.0863499797
72,4786,9.0877898762
73,4777,9.0875542566
74,4768,9.087318637
75,4759,9.0870830174
76,4750,9.0868473978
77,4741,9.0866117782
78,4732,9.0863761586
79,4724,9.0878160551
80,4715,9.0875804355
81,4706,9.0873448159
82,4697,9.0871091963
83,4688,9.0868735767
84,4679,9.0866379571
85,4670,9.086402337500001
86,4662,9.087842234
87,4653,9.0876066144
88,4644,9.0873709948
89,4635,9.0871353752
90,4626,9.086899755600001
91,4617,9.086664136
92,4608,9.0864285164
93,4600,9.0878684129
94,4591,9.087632793300001
95,4582,9.0873971737
96,4573,9.0871615541
97,4564,9.0869259345
98,4555,9.0866903149
99,4546,9.086454695299999
100,4537,9.0862190757
101,4529,9.0876589722
102,4520,9.0874233526
103,4511,9.087187733
104,4502,9.0869521134
105,4493,9.086716493800001
106,4484,9.0864808742
107,4475,9.0862452546
108,4467,9.0876851511
109,4458,9.0874495315
110,4449,9.087213911900001
111,4440,9.0869782923
112,4431,9.0867426727
113,4422,9.0865070531
114,4413,9.0862714335
115,4405,9.08771133
116,4396,9.0874757104
117,4387,9.0872400908
118,4378,9.0870044712
119,4369,9.086768851599999
120,4360,9.086533232
121,4351,9.0862976124
122,4343,9.0877375089
123,4334,9.0875018893
