N_A,N_B,cost_yuan,successes,trials,probability,Wilson95_low,Wilson95_high,CP_one_sided95_lower,point_feasible,lower_bound_feasible
591,194,9.0978690757,134155,150000,0.8943666666666666,0.8928010875975819,0.8959120470088985,0.8930523084375519,False,False
598,132,9.097895254600001,134451,150000,0.89634,0.8947872679822415,0.8978724322204441,0.8950364378516519,False,False
605,70,9.0979214335,134933,150000,0.8995533333333333,0.8980218954285512,0.9010643068598468,0.8982676653813949,False,False
612,8,9.0979476124,135179,150000,0.9011933333333333,0.8996729474832116,0.902693170807438,0.899916952614433,True,False
590,203,9.098104695300002,134106,150000,0.89404,0.8924723107023164,0.8955875073020895,0.8927238684120493,False,False
597,141,9.0981308742,134422,150000,0.8961466666666666,0.894592668369856,0.8976803750683364,0.8948420404030881,False,False
604,79,9.098157053100001,134874,150000,0.89916,0.8976259301277891,0.9006736256397436,0.8978721203402755,False,False
611,17,9.098183232,135140,150000,0.9009333333333334,0.8994111868594987,0.9024349447478672,0.8996554731408396,True,False
596,150,9.0983664938,134398,150000,0.8959866666666667,0.8944316216743851,0.8975214299587098,0.8946811608131278,False,False
603,88,9.098392672700001,134838,150000,0.89892,0.8973843277052683,0.900435240354618,0.8976307737809383,False,False
610,26,9.0984188516,135103,150000,0.9006866666666666,0.8991628528223122,0.902189958085528,0.8994074053592332,True,False
595,159,9.098602113400002,134361,150000,0.89574,0.8941833435815157,0.8972763873520534,0.894433139982895,False,False
602,97,9.0986282923,134769,150000,0.89846,0.8969212638243489,0.8999783277958815,0.897168199110271,False,False
609,35,9.0986544712,135071,150000,0.9004733333333333,0.8989480797592695,0.9019780754084405,0.8991928621982764,True,False
594,168,9.098837733000002,134313,150000,0.89542,0.8938612571002138,0.89695849022316,0.8941113866018999,False,False
601,106,9.0988639119,134695,150000,0.8979666666666667,0.8964246553838672,0.8994882948373119,0.8966721135949242,False,False
608,44,9.098890090800001,135060,150000,0.9004,0.8988742520147565,0.9019052402422837,0.8991191134028894,True,False
593,177,9.099073352600001,134246,150000,0.8949733333333333,0.8934116856080457,0.8965147512594301,0.8936622788478447,False,False
600,115,9.0990995315,134627,150000,0.8975133333333334,0.8959683222820183,0.8990379844913841,0.8962162594452457,False,False
607,53,9.099125710400001,135048,150000,0.90032,0.8987937129459992,0.9018257834084921,0.8990386604140125,True,False
592,186,9.0993089722,134227,150000,0.8948466666666667,0.8932841967809872,0.8963889132407863,0.8935349212720395,False,False
599,124,9.099335151100002,134525,150000,0.8968333333333334,0.8952838400854467,0.8983625015162903,0.8955324928708762,False,False
606,62,9.09936133,134981,150000,0.8998733333333333,0.8983440420042407,0.9013821438943529,0.8985894691967115,False,False
