N_A,N_B,successes,trials,probability,standard_error,Wilson95_low,Wilson95_high
590,203,44755,50000,0.8951,0.00137037213924,0.892383698748,0.8977555955
591,194,44792,50000,0.89584,0.00136609439205,0.893132024626,0.898487155925
592,186,44831,50000,0.89662,0.0013615621587,0.893920846118,0.899258214588
593,177,44831,50000,0.89662,0.0013615621587,0.893920846118,0.899258214588
594,168,44847,50000,0.89694,0.00135969582187,0.894244478827,0.899574532712
595,159,44847,50000,0.89694,0.00135969582187,0.894244478827,0.899574532712
596,150,44849,50000,0.89698,0.00135946224368,0.894284933476,0.899614071917
597,141,44820,50000,0.8964,0.00136284291098,0.893698353243,0.899040741265
598,132,44813,50000,0.89626,0.00136365693926,0.89355676882,0.898902347199
599,124,44836,50000,0.89672,0.00136097936502,0.894021980484,0.899357064857
600,115,44869,50000,0.89738,0.0013571229539,0.894689486841,0.900009457093
601,106,44895,50000,0.8979,0.00135407230235,0.895215424976,0.900523439062
602,97,44921,50000,0.89842,0.00135101075939,0.895741384451,0.901037399691
603,88,44943,50000,0.89886,0.00134841166118,0.89618644386,0.901472272678
604,79,44960,50000,0.8992,0.00134639786096,0.896530363995,0.901808300303
605,70,44983,50000,0.89966,0.00134366576499,0.896995682486,0.902262911134
606,62,44990,50000,0.8998,0.00134283252865,0.897137304545,0.902401267565
607,53,45031,50000,0.90062,0.00133793584002,0.89796683712,0.903211609
608,44,45034,50000,0.90068,0.00133757644716,0.898027536778,0.903270900123
609,35,45041,50000,0.90082,0.0013367372786,0.89816917046,0.903409244931
610,26,45058,50000,0.90116,0.00133469587847,0.898513144673,0.903745218478
611,17,45089,50000,0.90178,0.00133096079281,0.899140416322,0.904357851568
612,8,45109,50000,0.90218,0.00132854241633,0.899545124644,0.904753081787
