N_A,N_B,cost_yuan
590,203,9.098104695300002
591,194,9.0978690757
592,186,9.0993089722
593,177,9.099073352600001
594,168,9.098837733000002
595,159,9.098602113400002
596,150,9.0983664938
597,141,9.0981308742
598,132,9.097895254600001
599,124,9.099335151100002
600,115,9.0990995315
601,106,9.0988639119
602,97,9.0986282923
603,88,9.098392672700001
604,79,9.098157053100001
605,70,9.0979214335
606,62,9.09936133
607,53,9.099125710400001
608,44,9.098890090800001
609,35,9.0986544712
610,26,9.0984188516
611,17,9.098183232
612,8,9.0979476124
