N_A,N_B,successes,trials,probability,standard_error,Wilson95_low,Wilson95_high
1,0,0,50000,0,0,0,7.6823274145e-05
2,0,0,50000,0,0,0,7.6823274145e-05
3,0,0,50000,0,0,0,7.6823274145e-05
4,0,0,50000,0,0,0,7.6823274145e-05
5,0,0,50000,0,0,0,7.6823274145e-05
6,0,0,50000,0,0,0,7.6823274145e-05
7,0,0,50000,0,0,0,7.6823274145e-05
8,0,0,50000,0,0,0,7.6823274145e-05
9,0,0,50000,0,0,0,7.6823274145e-05
10,0,0,50000,0,0,0,7.6823274145e-05
11,0,0,50000,0,0,0,7.6823274145e-05
12,0,0,50000,0,0,0,7.6823274145e-05
13,0,0,50000,0,0,0,7.6823274145e-05
14,0,0,50000,0,0,0,7.6823274145e-05
15,0,0,50000,0,0,0,7.6823274145e-05
16,0,0,50000,0,0,0,7.6823274145e-05
17,0,0,50000,0,0,0,7.6823274145e-05
18,0,0,50000,0,0,0,7.6823274145e-05
19,0,0,50000,0,0,0,7.6823274145e-05
20,0,0,50000,0,0,0,7.6823274145e-05
21,0,0,50000,0,0,0,7.6823274145e-05
22,0,0,50000,0,0,0,7.6823274145e-05
23,0,0,50000,0,0,0,7.6823274145e-05
24,0,0,50000,0,0,0,7.6823274145e-05
25,0,0,50000,0,0,0,7.6823274145e-05
26,0,0,50000,0,0,0,7.6823274145e-05
27,0,0,50000,0,0,0,7.6823274145e-05
28,0,0,50000,0,0,0,7.6823274145e-05
29,0,0,50000,0,0,0,7.6823274145e-05
30,0,0,50000,0,0,0,7.6823274145e-05
31,0,0,50000,0,0,0,7.6823274145e-05
32,0,1,50000,2e-05,1.9999799999e-05,3.53049982283e-06,0.000113289701391
33,0,1,50000,2e-05,1.9999799999e-05,3.53049982283e-06,0.000113289701391
34,0,1,50000,2e-05,1.9999799999e-05,3.53049982283e-06,0.000113289701391
35,0,1,50000,2e-05,1.9999799999e-05,3.53049982283e-06,0.000113289701391
36,0,1,50000,2e-05,1.9999799999e-05,3.53049982283e-06,0.000113289701391
37,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
38,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
39,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
40,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
41,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
42,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
43,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
44,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
45,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
46,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
47,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
48,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
49,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
50,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
51,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
52,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
53,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
54,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
55,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
56,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
57,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
58,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
59,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
60,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
61,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
62,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
63,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
64,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
65,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
66,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
67,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
68,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
69,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
70,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
71,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
72,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
73,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
74,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
75,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
76,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
77,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
78,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
79,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
80,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
81,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
82,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
83,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
84,0,2,50000,4e-05,2.82837055564e-05,1.09695113014e-05,0.000145847616982
85,0,3,50000,6e-05,3.46399769053e-05,2.0405619613e-05,0.000176408435739
86,0,4,50000,8e-05,3.9998399968e-05,3.11108635536e-05,0.000205700118868
87,0,4,50000,8e-05,3.9998399968e-05,3.11108635536e-05,0.000205700118868
88,0,4,50000,8e-05,3.9998399968e-05,3.11108635536e-05,0.000205700118868
89,0,4,50000,8e-05,3.9998399968e-05,3.11108635536e-05,0.000205700118868
