N_A,successes,trials,probability,Wilson95_low,Wilson95_high,CP95_one_sided_lower
1,0,150000,0.0,0.0,2.5609069630051364e-05,0.0
2,0,150000,0.0,0.0,2.5609069630051364e-05,0.0
3,0,150000,0.0,0.0,2.5609069630051364e-05,0.0
4,0,150000,0.0,0.0,2.5609069630051364e-05,0.0
5,0,150000,0.0,0.0,2.5609069630051364e-05,0.0
6,0,150000,0.0,0.0,2.5609069630051364e-05,0.0
7,0,150000,0.0,0.0,2.5609069630051364e-05,0.0
8,0,150000,0.0,0.0,2.5609069630051364e-05,0.0
9,0,150000,0.0,0.0,2.5609069630051364e-05,0.0
10,0,150000,0.0,0.0,2.5609069630051364e-05,0.0
11,0,150000,0.0,0.0,2.5609069630051364e-05,0.0
12,0,150000,0.0,0.0,2.5609069630051364e-05,0.0
13,0,150000,0.0,0.0,2.5609069630051364e-05,0.0
14,0,150000,0.0,0.0,2.5609069630051364e-05,0.0
15,0,150000,0.0,0.0,2.5609069630051364e-05,0.0
16,0,150000,0.0,0.0,2.5609069630051364e-05,0.0
17,0,150000,0.0,0.0,2.5609069630051364e-05,0.0
18,0,150000,0.0,0.0,2.5609069630051364e-05,0.0
19,0,150000,0.0,0.0,2.5609069630051364e-05,0.0
20,0,150000,0.0,0.0,2.5609069630051364e-05,0.0
21,0,150000,0.0,0.0,2.5609069630051364e-05,0.0
22,0,150000,0.0,0.0,2.5609069630051364e-05,0.0
23,0,150000,0.0,0.0,2.5609069630051364e-05,0.0
24,0,150000,0.0,0.0,2.5609069630051364e-05,0.0
25,0,150000,0.0,0.0,2.5609069630051364e-05,0.0
26,0,150000,0.0,0.0,2.5609069630051364e-05,0.0
27,0,150000,0.0,0.0,2.5609069630051364e-05,0.0
28,0,150000,0.0,0.0,2.5609069630051364e-05,0.0
29,0,150000,0.0,0.0,2.5609069630051364e-05,0.0
30,0,150000,0.0,0.0,2.5609069630051364e-05,0.0
31,0,150000,0.0,0.0,2.5609069630051364e-05,0.0
32,1,150000,6.666666666666667e-06,1.1768313355787803e-06,3.776523017354418e-05,3.419552374502981e-07
33,1,150000,6.666666666666667e-06,1.1768313355787803e-06,3.776523017354418e-05,3.419552374502981e-07
34,1,150000,6.666666666666667e-06,1.1768313355787803e-06,3.776523017354418e-05,3.419552374502981e-07
35,1,150000,6.666666666666667e-06,1.1768313355787803e-06,3.776523017354418e-05,3.419552374502981e-07
36,1,150000,6.666666666666667e-06,1.1768313355787803e-06,3.776523017354418e-05,3.419552374502981e-07
37,2,150000,1.3333333333333333e-05,3.6564885367887956e-06,4.861856485140576e-05,2.3690818286757955e-06
38,2,150000,1.3333333333333333e-05,3.6564885367887956e-06,4.861856485140576e-05,2.3690818286757955e-06
39,2,150000,1.3333333333333333e-05,3.6564885367887956e-06,4.861856485140576e-05,2.3690818286757955e-06
40,2,150000,1.3333333333333333e-05,3.6564885367887956e-06,4.861856485140576e-05,2.3690818286757955e-06
41,2,150000,1.3333333333333333e-05,3.6564885367887956e-06,4.861856485140576e-05,2.3690818286757955e-06
42,2,150000,1.3333333333333333e-05,3.6564885367887956e-06,4.861856485140576e-05,2.3690818286757955e-06
43,2,150000,1.3333333333333333e-05,3.6564885367887956e-06,4.861856485140576e-05,2.3690818286757955e-06
44,2,150000,1.3333333333333333e-05,3.6564885367887956e-06,4.861856485140576e-05,2.3690818286757955e-06
45,2,150000,1.3333333333333333e-05,3.6564885367887956e-06,4.861856485140576e-05,2.3690818286757955e-06
46,2,150000,1.3333333333333333e-05,3.6564885367887956e-06,4.861856485140576e-05,2.3690818286757955e-06
47,2,150000,1.3333333333333333e-05,3.6564885367887956e-06,4.861856485140576e-05,2.3690818286757955e-06
48,2,150000,1.3333333333333333e-05,3.6564885367887956e-06,4.861856485140576e-05,2.3690818286757955e-06
49,2,150000,1.3333333333333333e-05,3.6564885367887956e-06,4.861856485140576e-05,2.3690818286757955e-06
50,2,150000,1.3333333333333333e-05,3.6564885367887956e-06,4.861856485140576e-05,2.3690818286757955e-06
51,2,150000,1.3333333333333333e-05,3.6564885367887956e-06,4.861856485140576e-05,2.3690818286757955e-06
52,2,150000,1.3333333333333333e-05,3.6564885367887956e-06,4.861856485140576e-05,2.3690818286757955e-06
53,2,150000,1.3333333333333333e-05,3.6564885367887956e-06,4.861856485140576e-05,2.3690818286757955e-06
54,2,150000,1.3333333333333333e-05,3.6564885367887956e-06,4.861856485140576e-05,2.3690818286757955e-06
55,2,150000,1.3333333333333333e-05,3.6564885367887956e-06,4.861856485140576e-05,2.3690818286757955e-06
56,2,150000,1.3333333333333333e-05,3.6564885367887956e-06,4.861856485140576e-05,2.3690818286757955e-06
57,2,150000,1.3333333333333333e-05,3.6564885367887956e-06,4.861856485140576e-05,2.3690818286757955e-06
58,2,150000,1.3333333333333333e-05,3.6564885367887956e-06,4.861856485140576e-05,2.3690818286757955e-06
59,2,150000,1.3333333333333333e-05,3.6564885367887956e-06,4.861856485140576e-05,2.3690818286757955e-06
60,2,150000,1.3333333333333333e-05,3.6564885367887956e-06,4.861856485140576e-05,2.3690818286757955e-06
61,2,150000,1.3333333333333333e-05,3.6564885367887956e-06,4.861856485140576e-05,2.3690818286757955e-06
62,2,150000,1.3333333333333333e-05,3.6564885367887956e-06,4.861856485140576e-05,2.3690818286757955e-06
63,2,150000,1.3333333333333333e-05,3.6564885367887956e-06,4.861856485140576e-05,2.3690818286757955e-06
64,2,150000,1.3333333333333333e-05,3.6564885367887956e-06,4.861856485140576e-05,2.3690818286757955e-06
65,2,150000,1.3333333333333333e-05,3.6564885367887956e-06,4.861856485140576e-05,2.3690818286757955e-06
66,2,150000,1.3333333333333333e-05,3.6564885367887956e-06,4.861856485140576e-05,2.3690818286757955e-06
67,2,150000,1.3333333333333333e-05,3.6564885367887956e-06,4.861856485140576e-05,2.3690818286757955e-06
68,2,150000,1.3333333333333333e-05,3.6564885367887956e-06,4.861856485140576e-05,2.3690818286757955e-06
69,2,150000,1.3333333333333333e-05,3.6564885367887956e-06,4.861856485140576e-05,2.3690818286757955e-06
70,2,150000,1.3333333333333333e-05,3.6564885367887956e-06,4.861856485140576e-05,2.3690818286757955e-06
71,2,150000,1.3333333333333333e-05,3.6564885367887956e-06,4.861856485140576e-05,2.3690818286757955e-06
72,2,150000,1.3333333333333333e-05,3.6564885367887956e-06,4.861856485140576e-05,2.3690818286757955e-06
73,2,150000,1.3333333333333333e-05,3.6564885367887956e-06,4.861856485140576e-05,2.3690818286757955e-06
74,2,150000,1.3333333333333333e-05,3.6564885367887956e-06,4.861856485140576e-05,2.3690818286757955e-06
75,3,150000,2e-05,6.801827638291568e-06,5.880621762897461e-05,5.451297798230162e-06
76,3,150000,2e-05,6.801827638291568e-06,5.880621762897461e-05,5.451297798230162e-06
77,3,150000,2e-05,6.801827638291568e-06,5.880621762897461e-05,5.451297798230162e-06
78,4,150000,2.6666666666666667e-05,1.0370193210422197e-05,6.857084393591555e-05,9.108838915066604e-06
79,4,150000,2.6666666666666667e-05,1.0370193210422197e-05,6.857084393591555e-05,9.108838915066604e-06
80,4,150000,2.6666666666666667e-05,1.0370193210422197e-05,6.857084393591555e-05,9.108838915066604e-06
81,4,150000,2.6666666666666667e-05,1.0370193210422197e-05,6.857084393591555e-05,9.108838915066604e-06
82,4,150000,2.6666666666666667e-05,1.0370193210422197e-05,6.857084393591555e-05,9.108838915066604e-06
83,4,150000,2.6666666666666667e-05,1.0370193210422197e-05,6.857084393591555e-05,9.108838915066604e-06
84,4,150000,2.6666666666666667e-05,1.0370193210422197e-05,6.857084393591555e-05,9.108838915066604e-06
85,6,150000,4e-05,1.8332483624028974e-05,8.727453728045199e-05,1.7420236901914307e-05
86,7,150000,4.6666666666666665e-05,2.2605936441174188e-05,9.633407634237836e-05,2.190230280729449e-05
87,7,150000,4.6666666666666665e-05,2.2605936441174188e-05,9.633407634237836e-05,2.190230280729449e-05
88,8,150000,5.333333333333333e-05,2.7025566012284378e-05,0.00010524743865033978,2.6539085664845698e-05
89,9,150000,6e-05,3.156747050805881e-05,0.00011403852603363693,3.130186175832453e-05
90,9,150000,6e-05,3.156747050805881e-05,0.00011403852603363693,3.130186175832453e-05
91,11,150000,7.333333333333333e-05,4.095005493535505e-05,0.0001313219253644839,4.1127240464538074e-05
92,11,150000,7.333333333333333e-05,4.095005493535505e-05,0.0001313219253644839,4.1127240464538074e-05
93,11,150000,7.333333333333333e-05,4.095005493535505e-05,0.0001313219253644839,4.1127240464538074e-05
94,11,150000,7.333333333333333e-05,4.095005493535505e-05,0.0001313219253644839,4.1127240464538074e-05
95,12,150000,8e-05,4.57656354037517e-05,0.00013983933677515887,4.616204392337604e-05
96,13,150000,8.666666666666667e-05,5.065136607593491e-05,0.0001482865979820472,5.1264591864387296e-05
97,14,150000,9.333333333333333e-05,5.559983059019063e-05,0.00015667112534686312,5.642710335453241e-05
98,15,150000,0.0001,6.060483406063853e-05,0.00016499911375548684,6.164318006502602e-05
99,17,150000,0.00011333333333333333,7.07642688080531e-05,0.00018150566276621544,7.221551307093665e-05
100,19,150000,0.00012666666666666666,8.109606670460428e-05,0.00019783984862780743,8.29478847476269e-05
101,22,150000,0.00014666666666666666,9.686308511045078e-05,0.00022207180585917573,9.929361137679932e-05
102,22,150000,0.00014666666666666666,9.686308511045078e-05,0.00022207180585917573,9.929361137679932e-05
103,24,150000,0.00016,0.00010752680757870722,0.00023807406714906247,0.0001103292972817154
104,24,150000,0.00016,0.00010752680757870722,0.00023807406714906247,0.0001103292972817154
105,24,150000,0.00016,0.00010752680757870722,0.00023807406714906247,0.0001103292972817154
106,24,150000,0.00016,0.00010752680757870722,0.00023807406714906247,0.0001103292972817154
107,24,150000,0.00016,0.00010752680757870722,0.00023807406714906247,0.0001103292972817154
108,24,150000,0.00016,0.00010752680757870722,0.00023807406714906247,0.0001103292972817154
109,25,150000,0.00016666666666666666,0.00011289881980602652,0.00024603504680081477,0.00011588339537786255
110,25,150000,0.00016666666666666666,0.00011289881980602652,0.00024603504680081477,0.00011588339537786255
111,26,150000,0.00017333333333333334,0.0001182955456706632,0.0002539713128152497,0.00012145972313710586
112,28,150000,0.00018666666666666666,0.0001291578082457253,0.0002697750339983308,0.0001326740652365986
113,30,150000,0.0002,0.00014010405870388344,0.0002854947672983159,0.00014396341565813087
114,33,150000,0.00022,0.00015666370723727826,0.0003089340944021358,0.00016102213862627504
115,33,150000,0.00022,0.00015666370723727826,0.0003089340944021358,0.00016102213862627504
116,35,150000,0.00023333333333333333,0.0001677874070561541,0.00032447637834140316,0.00017246893452324669
117,37,150000,0.0002466666666666667,0.00017897177894657835,0.00033995799020912216,0.0001839692583333699
118,42,150000,0.00028,0.00020716848901866284,0.00037842623953239556,0.00021292730361521578
119,43,150000,0.0002866666666666667,0.00021284440343101793,0.0003860833169991122,0.00021875096070791806
120,46,150000,0.0003066666666666667,0.00022993796234243406,0.0004089887337249108,0.00023627943380287773
121,47,150000,0.0003133333333333333,0.00023565657944849558,0.0004166031084979208,0.00024214037299901016
122,51,150000,0.00034,0.00025862653086077556,0.0004469651246019273,0.00026566725483520413
123,53,150000,0.0003533333333333333,0.0002701649448712902,0.0004620926943495558,0.00027747714052151244
124,53,150000,0.0003533333333333333,0.0002701649448712902,0.0004620926943495558,0.00027747714052151244
125,56,150000,0.0003733333333333333,0.00028753387880628276,0.000484722736051778,0.0002952451535493096
126,56,150000,0.0003733333333333333,0.00028753387880628276,0.000484722736051778,0.0002952451535493096
127,57,150000,0.00038,0.0002933390066395409,0.0004922506000975916,0.0003011812391660238
128,64,150000,0.00042666666666666667,0.00033417233261846444,0.0005447482172721692,0.00034290456693623564
129,67,150000,0.00044666666666666666,0.00035176913280055705,0.0005671503927272913,0.00036086956058690886
130,69,150000,0.00046,0.0003635297338077388,0.0005820557754782527,0.00037287156001482015
131,70,150000,0.00046666666666666666,0.0003694184750597278,0.0005895000261053354,0.00037887982815076903
132,71,150000,0.0004733333333333333,0.0003753126852117194,0.0005969388078324153,0.0003848928033225857
133,74,150000,0.0004933333333333334,0.000393027012705307,0.0006192234559760426,0.0004029589945573726
134,77,150000,0.0005133333333333333,0.0004107866953404416,0.0006414627489781227,0.0004210641704934954
135,77,150000,0.0005133333333333333,0.0004107866953404416,0.0006414627489781227,0.0004210641704934954
136,77,150000,0.0005133333333333333,0.0004107866953404416,0.0006414627489781227,0.0004210641704934954
137,80,150000,0.0005333333333333334,0.0004285891401599271,0.0006636592797958521,0.0004392060684777179
138,83,150000,0.0005533333333333333,0.0004464319923318658,0.0006858154032611283,0.0004573826366776369
139,87,150000,0.00058,0.0004702816350896209,0.0007152977280196596,0.00048166878826832034
140,91,150000,0.0006066666666666667,0.0004941947291855795,0.0007447166014399874,0.000506009286617191
